category_id,year0_institutions,year1_institutions,year2_institutions,year3_institutions,year4_institutions,recent_institutions,core_institutions_1y,core_institutions_3y,core_institutions_5y,citation_cohort_percentile
C0001,48,43,49,43,30,48,48,130,186,0.3894110290882202
C0002,1948,1483,1196,1080,895,1948,1948,3012,3494,0.6354204295387003
C0003,259,288,263,289,273,259,259,665,1020,0.28225390569494174
C0004,1319,1031,946,881,872,1319,1319,2411,3113,0.3173364254671788
C0005,954,922,801,703,632,954,954,1736,2112,0.5818798804772546
C0006,35,13,25,7,10,35,35,71,87,0.13838985378870597
C0007,964,878,739,754,723,964,964,1715,2142,0.4959243813623796
C0008,47,33,36,45,55,47,47,111,206,0.20571210245227134
C0009,2356,1890,1501,1371,1178,2356,2356,3357,3757,0.6295350153464906
C0010,1588,746,675,687,646,1588,1588,2297,2797,0.34142819861839957
C0011,1370,1174,900,920,799,1370,1370,2181,2611,0.6332284600463558
C0012,731,629,604,598,533,731,731,1441,1902,0.4412596781121364
C0013,401,283,288,236,231,401,401,801,1063,0.3630010113790348
C0014,4,0,2,3,0,4,4,6,9,0.08892084321325068
C0015,1481,1249,1102,901,898,1481,1481,2667,3226,0.4313524483408166
C0016,1235,1032,1006,826,891,1235,1235,2458,3191,0.3384269505854018
C0017,475,448,429,430,444,475,475,1061,1530,0.21899538459669723
C0018,799,501,450,422,379,799,799,1385,1775,0.3385401329390289
C0019,676,682,613,462,535,676,676,1512,1941,0.3208115919831371
C0020,1055,1096,1085,1014,1040,1055,1055,2293,3025,0.5509041803885258
C0021,1192,1146,1005,889,830,1192,1192,2385,3017,0.4030120611450306
C0022,56,85,61,95,73,56,56,183,302,0.3827321471306462
C0023,2,2,1,2,0,2,2,5,7,0.07430020423438144
C0024,777,623,545,356,283,777,777,1603,1963,0.20112271314706326
C0025,6,1,4,4,0,6,6,11,15,0.14211152119452647
C0026,428,422,421,451,491,428,428,1026,1536,0.306944896801863
C0027,488,448,411,465,401,488,488,1055,1500,0.23647413278412394
C0028,1157,1031,877,764,557,1157,1157,2187,2663,0.38750882400406605
C0029,747,671,624,586,515,747,747,1427,1845,0.2719358613412664
C0030,157,142,168,122,145,157,157,432,628,0.46564965278051956
C0031,759,629,625,557,549,759,759,1455,1881,0.30429557497704984
C0032,101,80,81,87,71,101,101,233,345,0.30153182383327143
C0033,872,839,717,646,648,872,872,1890,2476,0.19175301909266984
C0034,1048,831,750,740,697,1048,1048,1887,2420,0.4880557146363644
C0035,78,107,78,97,78,78,78,254,400,0.23979637521858665
C0036,22,12,8,9,3,22,22,40,50,0.20237480257919194
C0037,2309,1930,1775,1523,1396,2309,2309,3602,4157,0.6321108664837828
C0038,879,644,629,495,548,879,879,1724,2251,0.24839785402492962
C0039,147,84,75,57,34,147,147,285,358,0.33707915901757596
C0040,2105,2102,1769,1255,1044,2105,2105,3858,4441,0.4092742737964613
C0041,11,37,9,10,4,11,11,56,66,0.4588262429248435
C0042,48,64,65,46,57,48,48,158,239,0.31266887319877296
C0043,939,669,632,613,534,939,939,1616,2070,0.38081517980898083
C0044,801,687,570,523,477,801,801,1428,1775,0.5086987327447268
C0045,1090,1133,1050,947,995,1090,1090,2127,2721,0.4643831497085556
C0046,544,465,426,380,355,544,544,1078,1401,0.4687168588259895
C0047,1249,1170,1049,923,901,1249,1249,2267,2819,0.5538095893937101
C0048,1141,776,708,635,701,1141,1141,1890,2375,0.3490757499334981
