category_id,year0_institutions,year1_institutions,year2_institutions,year3_institutions,year4_institutions,recent_institutions,core_institutions_1y,core_institutions_3y,core_institutions_5y,citation_cohort_percentile
C0001,43,49,43,30,15,43,43,121,153,0.40410526716337153
C0002,1483,1196,1080,895,721,1483,1483,2440,2906,0.6696634665565622
C0003,288,263,289,273,218,288,288,687,1009,0.29676079400621214
C0004,1031,946,881,872,818,1031,1031,2115,2814,0.37012487018407864
C0005,922,801,703,632,639,922,922,1591,1974,0.5972158389360513
C0006,13,25,7,10,15,13,13,44,66,0.16836642465855917
C0007,878,739,754,723,659,878,878,1574,1975,0.5282616577172287
C0008,33,36,45,55,46,33,33,112,203,0.2112680193852671
C0009,1890,1501,1371,1178,1188,1890,1890,2738,3205,0.6514547741298643
C0010,746,675,687,646,709,746,746,1591,2217,0.4001021313831442
C0011,1174,900,920,799,718,1174,1174,1873,2286,0.6404424227041579
C0012,629,604,598,533,534,629,629,1327,1768,0.45735600650318453
C0013,283,288,236,231,284,283,283,666,963,0.3785535335776868
C0014,0,2,3,0,0,0,0,5,5,0.2570689839248401
C0015,1249,1102,901,898,832,1249,1249,2273,2853,0.502659774058156
C0016,1032,1006,826,891,911,1032,1032,2146,2963,0.39957593132015196
C0017,448,429,430,444,397,448,448,1027,1466,0.2324216351320752
C0018,501,450,422,379,303,501,501,1096,1450,0.4033856798037735
C0019,682,613,462,535,636,682,682,1329,1878,0.3627575110102125
C0020,1096,1085,1014,1040,1003,1096,1096,2216,2960,0.570450275715141
C0021,1146,1005,889,830,867,1146,1146,2169,2875,0.4111681236742467
C0022,85,61,95,73,74,85,85,207,301,0.4036530305935066
C0023,2,1,2,0,1,2,2,5,6,0.09737386350972524
C0024,623,545,356,283,357,623,623,1281,1646,0.2285262642777552
C0025,1,4,4,0,2,1,1,9,11,0.14211152119452647
C0026,422,421,451,491,386,422,422,1031,1474,0.3033286927050712
C0027,448,411,465,401,424,448,448,1025,1437,0.24971394403755998
C0028,1031,877,764,557,429,1031,1031,1909,2263,0.4404216255184999
C0029,671,624,586,515,604,671,671,1312,1740,0.2931593339506609
C0030,142,168,122,145,75,142,142,395,553,0.4842248911155105
C0031,629,625,557,549,500,629,629,1320,1706,0.33888226058283855
C0032,80,81,87,71,87,80,80,219,330,0.3479125085771827
C0033,839,717,646,648,676,839,839,1696,2312,0.21136855524592765
C0034,831,750,740,697,684,831,831,1653,2210,0.5251988853318609
C0035,107,78,97,78,71,107,107,266,400,0.25471760751903766
C0036,12,8,9,3,11,12,12,28,39,0.21199569333615775
C0037,1930,1775,1523,1396,1345,1930,1930,3090,3720,0.6304262764256012
C0038,644,629,495,548,570,644,644,1428,2014,0.2782414777411861
C0039,84,75,57,34,27,84,84,197,253,0.36852955624689077
C0040,2102,1769,1255,1044,856,2102,2102,3356,3888,0.47126028612706505
C0041,37,9,10,4,6,37,37,54,62,0.6058917184648561
C0042,64,65,46,57,42,64,64,158,232,0.3602131884543465
C0043,669,632,613,534,575,669,669,1389,1843,0.3970177455261893
C0044,687,570,523,477,498,687,687,1253,1626,0.5308678558688424
C0045,1133,1050,947,995,1122,1133,1133,2046,2734,0.4756572058779306
C0046,465,426,380,355,322,465,465,958,1267,0.5147175682056069
C0047,1170,1049,923,901,875,1170,1170,2058,2621,0.5629834539108579
C0048,776,708,635,701,670,776,776,1496,2038,0.41190216864391943
C0049,184,174,142,106,119,184,184,435,580,0.4836114772229042
C0050,1280,1045,900,758,879,1280,1280,2012,2468,0.5951371958311718
C0051,36,35,24,44,51,36,36,94,185,0.18364821156363034
C0052,26,19,29,43,43,26,26,74,153,0.0973429490924231
C0053,9,14,36,35,18,9,9,57,105,0.17169683012763548
C0054,12,16,7,9,6,12,12,34,47,0.21824528603668883
C0055,740,709,743,682,762,740,740,1585,2116,0.3826831284645457
C0056,1089,930,773,682,617,1089,1089,1949,2378,0.4902586583953601
C0057,739,715,749,782,836,739,739,1549,2217,0.3496970777984454
C0058,1358,1062,942,867,941,1358,1358,2317,2933,0.47040221449169795
C0059,1092,1035,871,886,844,1092,1092,2100,2711,0.5775450292406655
C0060,2327,2041,1759,1595,1573,2327,2327,3465,4087,0.6543520498636448
C0061,1261,1213,1202,1088,1111,1261,1261,2427,3108,0.47572804590705897
C0062,709,586,624,613,588,709,709,1388,1872,0.4363243011299676
C0063,1411,1388,1255,1218,1162,1411,1411,2680,3406,0.4886860336974099
C0064,41,63,48,31,44,41,41,143,203,0.44710498806447785
C0065,392,317,295,316,315,392,392,823,1189,0.30749094351363304
C0066,737,670,534,571,450,737,737,1475,1955,0.2844521018672581
C0067,2161,1906,1715,1523,1518,2161,2161,3263,3855,0.6051823234971201
C0068,734,646,679,585,647,734,734,1513,2012,0.5514160786092299
C0069,681,578,538,554,554,681,681,1311,1775,0.4139038267185387
C0070,1374,1139,948,789,742,1374,1374,2512,3131,0.4421197196967776
C0071,812,844,851,849,897,812,812,1690,2320,0.4605584882243628
C0072,1639,1338,971,706,427,1639,1639,2806,3208,0.5088288497107162
C0073,1208,1243,1073,1005,1042,1208,1208,2302,2933,0.5025695664980576
C0074,0,0,1,2,5,0,0,1,8,0.39673319412095415
C0075,1064,978,916,809,871,1064,1064,1870,2380,0.5902636564965279
C0076,1419,1360,1303,1165,1164,1419,1419,2514,3102,0.5730723765535082
C0077,37,27,36,26,37,37,37,97,153,0.1782190146346797
