category_id,year0_institutions,year1_institutions,year2_institutions,year3_institutions,year4_institutions,recent_institutions,core_institutions_1y,core_institutions_3y,core_institutions_5y,citation_cohort_percentile
C0504,151,160,102,91,70,151,151,362,471,0.5107581116655003
C0505,1,1,1,0,5,1,1,3,8,0.12572312322354123
C0506,347,252,230,210,207,347,347,708,935,0.3095406716331801
C0507,6,1,9,3,2,6,6,16,21,0.34435979983026016
C0508,44,7,18,34,29,44,44,65,111,0.4525830818291792
C0509,209,184,234,223,203,209,209,515,775,0.3334894257649944
C0510,810,786,728,591,517,810,810,1479,1748,0.657492792775299
C0511,2,0,0,0,1,2,2,2,3,0.6823381990013583
C0512,132,100,96,82,56,132,132,279,347,0.39275644876826094
C0513,125,91,71,74,53,125,125,219,267,0.4715040968131361
C0514,122,104,53,52,74,122,122,218,292,0.512138903235297
C0515,305,277,241,251,214,305,305,627,852,0.572823910922603
C0516,326,350,289,243,256,326,326,702,904,0.6090431473702224
C0517,133,142,78,69,73,133,133,271,342,0.40878555572859043
C0518,301,279,214,169,133,301,301,573,692,0.5822059629938133
C0519,124,135,86,79,81,124,124,291,374,0.5436836453134869
C0520,191,185,155,130,94,191,191,385,468,0.6187422396553425
C0521,387,372,297,265,220,387,387,729,906,0.6358011461550868
C0522,0,0,0,0,0,0,0,0,0,0.0
C0523,0,0,0,0,1,0,0,0,1,0.0
C0524,135,134,89,72,77,135,135,292,375,0.4820206225226524
C0525,103,112,87,78,65,103,103,271,381,0.4949265305010867
C0526,141,94,109,101,73,141,141,285,392,0.6278124472691309
C0527,454,443,396,269,278,454,454,1046,1316,0.3966594954766592
C0528,24,9,13,12,14,24,24,45,66,0.40096686554335864
C0529,192,165,114,94,95,192,192,340,404,0.6065377203224912
C0530,1315,1082,959,841,733,1315,1315,2043,2354,0.5877433178777832
C0531,84,86,90,55,80,84,84,234,311,0.6322110602721168
C0532,600,476,309,287,216,600,600,939,1089,0.6656101112016011
C0533,419,268,246,215,179,419,419,656,788,0.4175138119263118
C0534,624,418,258,229,115,624,624,1035,1172,0.6333020642512287
C0535,40,34,37,16,28,40,40,86,110,0.4217165076086652
C0536,27,46,23,35,26,27,27,85,134,0.5527129715654576
C0537,2780,2529,2223,2113,1779,2780,2780,4301,5006,0.6087421216844758
C0538,85,77,54,71,52,85,85,195,295,0.3660780763181641
C0539,116,114,93,110,90,116,116,287,437,0.2919204987607397
C0540,142,114,110,130,98,142,142,283,420,0.4430754966903042
C0541,68,50,39,79,63,68,68,143,248,0.4551312033374093
