category_id,year0_institutions,year1_institutions,year2_institutions,year3_institutions,year4_institutions,recent_institutions,core_institutions_1y,core_institutions_3y,core_institutions_5y,citation_cohort_percentile
C0315,838,519,480,465,369,838,838,1324,1600,0.3722396816213914
C0316,749,551,497,603,463,749,749,1441,2020,0.35309419751389365
C0317,393,183,204,179,154,393,393,678,894,0.4002826232007851
C0318,462,329,262,262,281,462,462,816,1109,0.3150728507800458
C0319,304,220,217,218,208,304,304,532,680,0.2700670263523447
C0320,950,741,561,559,358,950,950,1662,2031,0.5085141681412427
C0321,326,199,175,159,112,326,326,580,714,0.33453205590418195
C0322,57,83,62,69,68,57,57,189,290,0.5580955626735099
C0323,721,506,421,350,380,721,721,1242,1564,0.21936989051996583
C0324,854,789,735,784,736,854,854,1720,2298,0.532907529902449
C0325,22,15,16,20,11,22,22,53,84,0.17340744517127346
C0326,354,621,575,378,476,354,354,1302,1790,0.2994950891045858
C0327,784,469,444,404,359,784,784,1319,1692,0.4135981061106382
C0328,1475,1226,1112,1071,935,1475,1475,2580,3197,0.3980278824427631
C0329,12,11,34,25,23,12,12,54,93,0.17646602368386827
C0330,979,746,651,586,494,979,979,1705,2063,0.5480016012274393
C0331,2,1,0,0,0,2,2,3,3,0.0
C0332,447,331,263,223,221,447,447,863,1131,0.2635103365996234
C0333,66,48,37,43,50,66,66,142,216,0.25719960049308954
C0334,1293,1064,928,940,840,1293,1293,2272,2833,0.5937851440910404
C0335,13,0,15,14,7,13,13,28,45,0.22527798197960883
C0336,225,218,167,146,123,225,225,507,638,0.5908959818863567
C0337,212,202,178,153,123,212,212,531,745,0.18748923436697232
C0338,1246,779,725,675,577,1246,1246,2009,2469,0.5038061231719773
C0339,870,562,371,362,306,870,870,1463,1764,0.34135209108006503
C0340,1053,950,896,972,831,1053,1053,2010,2616,0.5552616096097162
C0341,1561,1307,1309,1215,1158,1561,1561,2598,3152,0.46054891972007617
C0342,240,134,162,103,72,240,240,487,625,0.49848449663084604
C0343,504,396,371,313,313,504,504,979,1270,0.5138365869819662
C0344,0,0,0,3,0,0,0,0,3,0.06764543869767803
C0345,381,411,395,342,291,381,381,918,1195,0.5319556102965295
C0346,787,675,547,407,414,787,787,1373,1639,0.5790383828301667
C0347,293,277,255,250,265,293,293,706,1027,0.20898946739019433
C0348,941,633,618,470,471,941,941,1615,1967,0.4149417204065349
C0349,997,1111,932,941,830,997,997,2012,2537,0.5762518863791691
C0350,581,497,499,432,360,581,581,1253,1649,0.14236184309483513
C0351,194,93,96,60,68,194,194,347,432,0.3269416699774225
C0352,776,448,429,348,382,776,776,1325,1700,0.24938987992647194
C0353,106,75,48,28,53,106,106,208,274,0.2146206311617048
C0354,849,739,658,647,579,849,849,1787,2406,0.36498600562692673
