category_id,period,papers
C0575,2022Q1,40
C0582,2022Q1,47
C0402,2021Q1,264
C0223,2022Q1,206
C0024,2020Q3,63
C0249,2021Q1,194
C0250,2022Q1,136
C0315,2022Q1,216
C0059,2021Q1,148
C0120,2021Q3,73
C0170,2021Q2,217
C0013,2022Q1,57
C0015,2022Q1,196
C0176,2020Q3,210
C0459,2022Q1,195
C0598,2022Q1,32
C0444,2022Q1,53
C0433,2022Q1,15
C0684,2022Q1,25
C0285,2021Q3,128
C0360,2021Q2,120
C0228,2020Q2,148
C0240,2022Q1,99
C0476,2021Q1,201
C0387,2021Q2,152
C0086,2020Q1,278
C0156,2020Q2,126
C0097,2022Q1,56
C0040,2021Q1,245
C0393,2021Q2,189
C0219,2021Q2,108
C0033,2020Q2,204
C0303,2021Q1,64
C0326,2021Q3,63
C0462,2022Q1,96
C0130,2021Q2,121
C0569,2022Q1,54
C0168,2022Q1,60
C0742,2022Q1,37
C0457,2021Q1,122
C0693,2021Q2,24
C0254,2020Q4,252
C0062,2021Q1,152
C0693,2022Q1,35
C0465,2020Q1,279
C0027,2021Q1,144
C0016,2021Q1,210
C0218,2021Q1,418
C0102,2021Q3,146
C0176,2021Q2,272
C0234,2021Q1,162
C0192,2022Q1,224
C0263,2021Q1,261
C0423,2021Q3,157
C0445,2020Q1,112
C0203,2020Q1,131
C0316,2021Q1,183
C0265,2022Q1,44
C0325,2022Q1,7
C0214,2021Q1,136
C0337,2022Q1,48
C0148,2021Q4,3
C0100,2020Q1,133
C0011,2020Q1,177
C0601,2022Q1,12
C0739,2022Q1,30
C0248,2021Q2,5
C0242,2020Q1,49
C0264,2021Q1,228
C0026,2021Q1,75
C0159,2022Q1,127
C0557,2021Q1,158
C0296,2022Q1,68
C0102,2021Q1,243
C0498,2022Q1,43
C0173,2021Q1,11
C0136,2021Q1,254
C0355,2021Q3,143
C0152,2021Q1,163
C0408,2020Q1,212
C0185,2021Q2,145
C0158,2021Q1,396
C0121,2020Q3,178
C0403,2020Q4,73
C0623,2022Q1,6
C0166,2021Q2,133
C0696,2022Q1,10
C0647,2022Q1,22
C0427,2021Q1,92
C0400,2020Q3,118
C0695,2021Q1,19
C0319,2022Q1,68
C0275,2020Q1,303
C0642,2021Q4,17
C0220,2021Q1,105
C0611,2021Q1,5
C0082,2021Q2,88
C0457,2021Q3,81
C0440,2020Q2,83
C0406,2021Q1,86
C0298,2021Q1,164
C0153,2022Q1,82
C0715,2022Q1,15
C0422,2021Q1,12
C0700,2021Q2,64
C0410,2021Q3,149
C0718,2022Q1,32
C0432,2021Q1,13
C0174,2022Q1,74
C0136,2021Q3,160
C0429,2021Q1,252
C0462,2021Q2,80
C0746,2021Q4,24
C0569,2021Q2,44
C0665,2022Q1,31
C0179,2021Q3,52
C0098,2021Q1,137
C0213,2020Q2,54
C0194,2020Q2,127
C0452,2021Q1,276
C0302,2020Q4,110
C0058,2021Q1,285
C0062,2021Q3,123
C0218,2021Q3,208
C0418,2021Q1,54
C0651,2022Q1,41
C0211,2020Q1,376
C0454,2021Q1,108
C0367,2021Q1,181
C0267,2021Q2,127
C0021,2021Q2,122
C0162,2022Q1,46
C0181,2022Q1,89
C0517,2021Q1,18
C0205,2020Q2,90
C0423,2021Q1,257
C0371,2021Q1,148
C0291,2021Q3,1
C0400,2021Q2,112
C0066,2020Q1,184
C0101,2020Q3,99
C0028,2021Q2,94
C0177,2022Q2,107
C0195,2022Q2,137
C0132,2022Q2,242
C0465,2022Q2,143
C0085,2022Q2,108
C0061,2022Q2,147
C0129,2022Q2,236
C0086,2022Q2,187
C0211,2022Q2,201
C0155,2022Q2,374
C0278,2022Q2,273
C0252,2022Q2,102
C0210,2022Q2,103
C0246,2022Q2,28
C0311,2022Q2,136
C0405,2022Q2,144
C0486,2022Q2,233
C0011,2022Q2,159
C0549,2022Q1,6
C0088,2022Q2,107
C0591,2022Q2,5
C0169,2022Q2,160
C0446,2022Q3,153
C0408,2022Q2,111
C0414,2022Q2,117
C0105,2022Q2,149
C0362,2022Q2,296
C0578,2022Q2,11
C0060,2022Q2,488
C0007,2022Q2,145
C0055,2022Q2,76
C0143,2022Q2,185
C0004,2022Q2,142
C0020,2022Q2,144
C0145,2022Q2,106
C0564,2022Q2,48
C0290,2022Q2,165
C0555,2022Q2,41
C0272,2022Q2,70
C0254,2022Q2,331
C0446,2022Q2,126
C0455,2022Q2,182
C0009,2022Q2,354
C0302,2022Q2,111
C0305,2021Q4,2
C0253,2022Q2,158
C0493,2022Q2,209
C0461,2022Q2,183
C0186,2022Q2,110
C0063,2022Q2,220
C0083,2022Q2,119
C0138,2022Q2,147
C0527,2022Q2,27
C0047,2022Q2,192
C0103,2022Q2,147
C0161,2022Q2,83
C0196,2022Q2,195
C0364,2022Q2,82
C0489,2022Q2,6
C0124,2022Q2,30
C0280,2022Q2,83
C0056,2022Q2,142
C0275,2022Q2,171
C0221,2022Q2,214
C0110,2023Q1,13
C0354,2022Q2,218
C0109,2022Q2,156
C0672,2022Q2,35
C0071,2022Q2,140
C0168,2024Q1,94
C0080,2022Q2,289
C0674,2022Q2,13
C0292,2022Q2,53
C0463,2022Q2,90
C0675,2022Q2,28
C0282,2022Q2,98
C0164,2022Q2,68
C0366,2022Q2,123
C0727,2022Q2,81
C0548,2022Q1,16
C0403,2022Q2,29
C0456,2022Q2,4
C0394,2022Q2,138
C0474,2022Q2,119
C0650,2022Q1,12
C0552,2022Q2,41
C0540,2022Q2,19
C0722,2022Q2,2
C0472,2022Q2,172
C0737,2021Q3,14
C0469,2022Q2,66
C0458,2022Q2,55
C0536,2022Q2,2
C0657,2022Q1,11
C0015,2022Q4,185
C0194,2023Q3,227
C0539,2022Q2,13
C0615,2022Q1,30
C0543,2022Q2,9
C0203,2022Q2,83
C0484,2022Q2,112
C0368,2022Q2,99
C0029,2022Q2,88
C0048,2022Q2,115
C0631,2022Q1,18
C0182,2022Q2,42
C0436,2022Q2,191
C0329,2022Q2,7
C0163,2022Q1,53
C0667,2022Q2,33
C0609,2022Q2,8
C0208,2022Q2,92
C0091,2022Q3,80
C0083,2022Q3,102
C0130,2022Q4,113
C0241,2022Q2,141
C0338,2022Q2,152
C0394,2020Q1,187
C0091,2022Q2,89
C0066,2022Q2,84
C0681,2022Q2,4
C0416,2022Q2,97
C0238,2022Q2,44
C0100,2022Q3,75
C0160,2022Q2,33
C0065,2022Q2,55
C0576,2022Q2,24
C0571,2022Q1,8
C0077,2022Q2,8
C0551,2022Q2,14
C0519,2022Q2,12
C0499,2022Q2,10
C0630,2022Q2,41
C0445,2022Q3,65
C0600,2022Q2,8
C0108,2022Q2,1
C0242,2022Q2,13
C0441,2022Q2,10
C0415,2022Q2,49
C0096,2022Q2,5
C0182,2022Q3,25
C0311,2020Q1,222
C0105,2020Q1,322
C0138,2020Q4,136
C0189,2020Q3,241
C0252,2020Q1,174
C0415,2020Q1,101
C0270,2020Q2,161
C0137,2020Q3,140
C0315,2021Q2,142
C0354,2020Q1,324
C0100,2020Q4,103
C0469,2020Q4,95
C0015,2020Q3,167
C0318,2020Q3,54
C0275,2020Q4,156
C0050,2020Q2,114
C0369,2020Q4,235
C0057,2021Q3,156
C0129,2020Q4,211
C0057,2021Q1,272
C0195,2020Q4,123
C0160,2020Q1,91
C0191,2021Q2,145
C0405,2020Q1,239
C0301,2021Q2,66
C0338,2020Q1,180
C0343,2021Q1,217
C0048,2020Q1,217
C0004,2020Q1,253
C0469,2020Q1,100
