category_id,year0_institutions,year1_institutions,year2_institutions,year3_institutions,year4_institutions,recent_institutions,core_institutions_1y,core_institutions_3y,core_institutions_5y,citation_cohort_percentile
C0538,70,93,47,77,36,70,70,188,281,0.3447110811278101
C0539,119,124,92,108,86,119,119,295,441,0.2692171985336292
C0540,140,116,118,112,121,140,140,284,423,0.41980705102204147
C0541,79,62,43,51,77,79,79,166,255,0.4309944463017548
C0542,457,293,218,184,141,457,457,751,879,0.45303864415445694
C0543,171,138,92,59,62,171,171,331,389,0.5439647210617861
C0544,39,22,21,31,36,39,39,77,130,0.3817259531692796
C0545,191,154,161,123,123,191,191,426,593,0.5088619449100117
C0546,6,27,21,19,12,6,6,51,74,0.31912100502920937
C0547,48,7,11,12,5,48,48,64,79,0.43678424470753124
C0548,124,129,99,97,64,124,124,281,372,0.3165413592533724
C0549,42,36,30,23,6,42,42,88,100,0.41342719810426304
C0550,222,182,175,122,133,222,222,451,582,0.4342502227815889
C0551,165,163,166,113,101,165,165,398,522,0.34521256242636433
C0552,656,562,448,464,403,656,656,1214,1563,0.5292420599552803
C0553,581,526,326,211,195,581,581,1158,1368,0.3480648280807761
C0554,110,106,88,54,65,110,110,264,345,0.4871792185435622
C0555,488,423,357,309,251,488,488,816,949,0.6005831870834899
C0556,1098,916,723,584,465,1098,1098,1628,1788,0.6629695300302592
C0557,1056,1031,909,942,830,1056,1056,2075,2653,0.555246180714849
C0558,143,125,86,102,55,143,143,303,392,0.5469939620748243
C0559,38,23,18,9,6,38,38,72,83,0.6351707473897333
C0560,283,241,214,190,163,283,283,486,589,0.5105286635581469
C0561,85,40,39,41,44,85,85,150,217,0.3336816397875696
C0562,5,7,1,7,6,5,5,13,25,0.3758350958945156
C0563,18,20,15,23,30,18,18,53,100,0.24692834799206304
C0564,352,314,286,231,238,352,352,633,769,0.40406748272775295
C0565,247,71,55,89,61,247,247,316,400,0.5694356408642701
C0566,220,82,106,85,78,220,220,338,428,0.5270028326476276
C0567,4,13,13,7,17,4,4,30,53,0.45301698924394984
C0568,0,0,0,2,0,0,0,0,2,0.0
C0569,441,355,310,331,324,441,441,812,1108,0.5465788779081914
C0570,214,130,96,154,168,214,214,375,580,0.5170477092856496
C0571,79,60,46,37,45,79,79,172,237,0.33109100039535616
C0572,359,337,326,267,153,359,359,771,933,0.41628233314805607
C0573,1,0,0,0,0,1,1,1,1,0.0
C0574,70,51,51,49,47,70,70,151,217,0.36833248473354036
C0575,201,215,228,255,214,201,201,510,762,0.5171641722799262
C0576,608,413,327,184,141,608,608,976,1095,0.6225971009850721
C0577,528,437,287,150,132,528,528,855,936,0.642323086911277
C0578,124,145,119,123,122,124,124,311,433,0.49729271284391485
C0579,6,3,4,1,4,6,6,13,18,0.20933045404919526
C0580,0,4,2,1,0,0,0,6,7,0.321067851056294
C0581,113,168,131,137,132,113,113,345,504,0.38580073327033054
C0582,262,237,234,261,206,262,262,557,774,0.44597720381356887
C0583,163,74,117,106,130,163,163,279,404,0.47831287508508463
C0584,156,251,237,277,274,156,156,418,624,0.5153825016756753
C0585,37,12,14,10,41,37,37,51,79,0.5384855739076178
C0586,105,169,147,163,126,105,105,303,397,0.5369384583383645
C0587,488,460,404,332,350,488,488,1077,1386,0.39986512360597176
C0588,12,12,7,2,7,12,12,31,40,0.14349784655377093
C0589,32,24,27,28,32,32,32,67,100,0.24003861831101994
C0590,172,154,147,167,171,172,172,389,587,0.41809393073776024
C0591,64,58,54,53,39,64,64,161,223,0.5650309101902073
C0592,627,568,456,347,306,627,627,1158,1393,0.5353963578188992
C0593,954,696,491,403,302,954,954,1476,1689,0.6013706009729944
C0594,101,70,51,34,22,101,101,210,257,0.3394814290250128
C0595,0,0,0,0,0,0,0,0,0,0.0
C0596,35,4,32,12,9,35,35,66,79,0.30109055032404375
C0597,185,105,52,34,36,185,185,286,328,0.5438813358489741
C0598,665,522,320,175,147,665,665,1077,1168,0.5879368796448184
C0599,0,0,3,1,0,0,0,3,4,0.7993632613318984
C0600,272,133,130,84,40,272,272,435,502,0.5576208096273504
C0601,82,105,108,154,82,82,82,250,382,0.4825076816849143
