category_id,year0_institutions,year1_institutions,year2_institutions,year3_institutions,year4_institutions,recent_institutions,core_institutions_1y,core_institutions_3y,core_institutions_5y,citation_cohort_percentile
C0306,557,523,591,634,622,557,557,1298,1898,0.25020072589541537
C0307,1352,1031,1046,909,876,1352,1352,2434,3021,0.3235054985552146
C0308,186,72,73,73,89,186,186,311,443,0.11577749852716913
C0309,75,72,76,79,53,75,75,206,306,0.26261928135453805
C0310,665,534,714,643,619,665,665,1493,2060,0.35399499308626686
C0311,835,793,724,652,625,835,835,1664,2130,0.3145101436623171
C0312,29,39,26,25,20,29,29,92,133,0.02717557745856182
C0313,960,764,649,548,535,960,960,1671,2050,0.3663739319270604
C0314,56,49,55,65,24,56,56,156,231,0.2844497886849374
C0315,1230,950,828,750,648,1230,1230,1970,2338,0.4434554973367708
C0316,922,816,758,808,661,922,922,1943,2649,0.3346317091578909
C0317,1170,975,920,849,840,1170,1170,2146,2730,0.5150041203480737
C0318,579,479,381,368,347,579,579,1095,1452,0.29907274176424936
C0319,477,363,309,311,336,477,477,837,1086,0.25009014126625667
C0320,1273,1121,972,810,635,1273,1273,2315,2777,0.48998517075969295
C0321,431,266,214,189,168,431,431,728,898,0.3335858698418165
C0322,78,88,65,83,77,78,78,213,324,0.5528593399736942
C0323,870,669,543,465,484,870,870,1548,1957,0.1920166195075375
C0324,958,965,937,955,923,958,958,2015,2690,0.5039233813299154
C0325,24,16,16,27,19,24,24,56,102,0.14940548955556637
C0326,483,860,925,629,709,483,483,1806,2495,0.22155372796010103
C0327,1097,673,671,538,529,1097,1097,1806,2226,0.41778027227442416
C0328,1533,1289,1198,1165,1020,1533,1533,2698,3376,0.36743640457915555
C0329,18,15,45,32,30,18,18,74,122,0.13658365722069232
C0330,1589,1364,1161,1015,911,1589,1589,2628,3111,0.5984943871873046
C0331,2,4,0,0,0,2,2,6,6,0.04815043791859866
C0332,523,405,325,268,269,523,523,1033,1332,0.24984960279788831
C0333,667,488,428,372,442,667,667,1202,1592,0.29962948472949585
C0334,1381,1162,1009,1035,915,1381,1381,2414,3003,0.5751650534848485
C0335,11,8,19,16,8,11,11,38,58,0.22833779832446266
C0336,360,311,253,194,173,360,360,702,848,0.5970207514354101
C0337,261,269,240,253,189,261,261,679,987,0.20974666041869713
C0338,1651,1227,1105,940,862,1651,1651,2699,3255,0.5188088435102202
C0339,1237,889,692,522,478,1237,1237,2166,2558,0.3352118959152912
C0340,1277,1163,1119,1203,1065,1277,1277,2398,3093,0.5266664577864706
C0341,1588,1407,1385,1295,1259,1588,1588,2722,3314,0.4370034513111541
C0342,1268,1097,970,965,882,1268,1268,2280,2849,0.5571679526883742
C0343,1329,1148,927,773,702,1329,1329,2236,2688,0.5635178956919904
C0344,0,0,0,6,2,0,0,0,8,0.13995532461126248
C0345,636,610,587,553,498,636,636,1336,1747,0.48614475878808133
C0346,1105,984,752,621,661,1105,1105,1871,2254,0.5523104933447603
C0347,403,398,387,337,334,403,403,993,1377,0.16999995585673464
C0348,1250,941,813,610,650,1250,1250,2089,2472,0.41035133729260126
C0349,1302,1356,1186,1167,1069,1302,1302,2464,3025,0.5379330061491513
C0350,716,635,681,578,460,716,716,1581,2078,0.12671824708042695
C0351,223,146,121,82,82,223,223,433,541,0.3040962363128955
