category_id,year0_institutions,year1_institutions,year2_institutions,year3_institutions,year4_institutions,recent_institutions,core_institutions_1y,core_institutions_3y,core_institutions_5y,citation_cohort_percentile
C0001,48,48,51,23,21,48,48,132,165,0.40410526716337153
C0002,1715,1329,1081,991,804,1715,1715,2686,3171,0.6696634665565628
C0003,297,236,298,256,258,297,297,683,1016,0.2967607940062124
C0004,1158,957,880,907,872,1158,1158,2206,2938,0.37012487018407947
C0005,924,852,752,680,652,924,924,1651,2060,0.5972158389360519
C0006,23,25,13,4,13,23,23,60,74,0.16836642465855917
C0007,969,795,749,689,699,969,969,1672,2074,0.5282616577172283
C0008,35,39,31,59,49,35,35,104,202,0.2112680193852671
C0009,2132,1680,1407,1225,1186,2132,2132,3058,3470,0.651454774129862
C0010,1052,697,636,686,714,1052,1052,1816,2428,0.4001021313831438
C0011,1320,1003,914,859,721,1320,1320,2028,2420,0.6404424227041585
C0012,678,633,615,564,529,678,678,1397,1863,0.4573560065031851
C0013,331,278,242,277,226,331,331,706,1003,0.3785535335776868
C0014,0,2,0,3,0,0,0,2,5,0.2570689839248401
C0015,1335,1212,869,911,859,1335,1335,2374,2975,0.5026597740581557
C0016,1125,958,909,850,915,1125,1125,2270,3065,0.3995759313201527
C0017,444,439,398,459,420,444,444,1016,1485,0.23242163513207525
C0018,635,476,457,390,350,635,635,1228,1603,0.40338567980377316
C0019,671,605,551,494,662,671,671,1409,1925,0.36275751101021264
C0020,1110,1144,963,1059,1013,1110,1110,2265,3008,0.5704502757151394
C0021,1211,1108,921,848,857,1211,1211,2322,2975,0.4111681236742481
C0022,77,86,64,90,73,77,77,201,316,0.40365303059350666
C0023,2,1,2,0,0,2,2,5,5,0.09737386350972525
C0024,636,627,405,308,326,636,636,1387,1745,0.2285262642777554
C0025,1,0,8,0,1,1,1,9,10,0.14211152119452647
C0026,402,412,438,440,468,402,402,997,1492,0.30332869270507135
C0027,485,412,427,427,412,485,485,1020,1450,0.24971394403755978
C0028,1139,945,812,596,518,1139,1139,2074,2466,0.4404216255185001
C0029,703,694,552,575,570,703,703,1368,1804,0.2931593339506606
C0030,145,182,112,147,92,145,145,408,584,0.4842248911155104
C0031,691,656,583,539,530,691,691,1395,1786,0.33888226058283943
C0032,75,78,95,80,68,75,75,219,318,0.3479125085771827
C0033,784,789,671,637,661,784,784,1754,2363,0.21136855524592738
C0034,965,756,695,764,660,965,965,1732,2297,0.5251988853318614
C0035,102,56,104,87,80,102,102,252,396,0.25471760751903766
C0036,17,6,11,5,9,17,17,32,45,0.21199569333615773
C0037,2078,1846,1642,1398,1391,2078,2078,3335,3934,0.6304262764255975
C0038,709,601,557,532,582,709,709,1518,2091,0.27824147774118585
C0039,87,79,74,25,37,87,87,226,282,0.36852955624689065
C0040,2182,1946,1349,1174,913,2182,2182,3598,4151,0.47126028612706417
C0041,13,35,6,8,2,13,13,54,63,0.6058917184648562
C0042,59,58,66,54,47,59,59,167,245,0.3602131884543466
C0043,768,619,604,564,572,768,768,1476,1931,0.3970177455261896
C0044,753,642,536,512,460,753,753,1357,1707,0.5308678558688423
C0045,1069,1095,979,955,1060,1069,1069,2070,2696,0.4756572058779302
C0046,483,483,380,389,319,483,483,1006,1327,0.5147175682056064
C0047,1287,1138,937,916,869,1287,1287,2200,2742,0.5629834539108581
C0048,926,728,633,712,670,926,926,1639,2164,0.41190216864392043
C0049,141,201,161,115,123,141,141,440,591,0.4836114772229043
C0050,1332,1139,962,788,857,1332,1332,2169,2585,0.5951371958311702
C0051,26,43,29,26,52,26,26,97,171,0.18364821156363031
C0052,39,20,27,23,56,39,39,85,160,0.09734294909242311
C0053,13,16,23,27,27,13,13,50,103,0.17169683012763548
C0054,12,20,4,9,9,12,12,36,53,0.21824528603668886
C0055,805,711,766,676,759,805,805,1644,2160,0.38268312846454583
C0056,1234,974,828,721,657,1234,1234,2094,2540,0.49025865839535987
C0057,882,692,725,776,808,882,882,1618,2265,0.3496970777984463
C0058,1361,1269,913,931,930,1361,1361,2408,3042,0.4704022144916977
C0059,1249,1060,934,876,855,1249,1249,2284,2892,0.577545029240666
C0060,2498,2181,1779,1708,1593,2498,2498,3653,4284,0.654352049863642
C0061,1373,1213,1216,1100,1139,1373,1373,2523,3201,0.47572804590705847
C0062,806,610,594,601,586,806,806,1463,1931,0.43632430112996856
C0063,1625,1465,1284,1245,1194,1625,1625,2873,3598,0.4886860336974084
C0064,56,65,47,36,41,56,56,154,217,0.44710498806447785
C0065,442,350,267,325,317,442,442,862,1221,0.30749094351363343
C0066,798,687,489,573,538,798,798,1516,2037,0.28445210186725783
C0067,2332,1996,1764,1530,1593,2332,2332,3499,4087,0.6051823234971134
C0068,825,659,625,662,641,825,825,1524,2062,0.5514160786092307
C0069,755,592,529,556,531,755,755,1375,1817,0.4139038267185382
C0070,1415,1341,996,882,741,1415,1415,2712,3338,0.4421197196967783
C0071,878,833,827,887,833,878,878,1722,2342,0.460558488224363
C0072,1860,1442,1097,865,543,1860,1860,3095,3574,0.5088288497107163
C0073,1245,1258,1144,1018,1056,1245,1245,2392,3013,0.5025695664980573
C0074,0,0,0,1,3,0,0,0,4,0.39673319412095415
C0075,1171,954,955,910,806,1171,1171,2007,2499,0.5902636564965279
C0076,1500,1370,1342,1235,1164,1500,1500,2599,3195,0.5730723765535084
C0077,41,35,34,24,31,41,41,107,155,0.17821901463467973
C0078,0,0,0,1,3,0,0,0,3,0.16729981527588145
C0079,33,38,37,21,37,33,33,102,150,0.23833705026367374
C0080,1830,1778,1575,1471,1277,1830,1830,3272,3936,0.596713250760908
C0081,8,12,10,8,3,8,8,30,39,0.06832935154061145
C0082,735,731,531,618,623,735,735,1571,2149,0.38141910294699144
C0083,693,684,612,624,589,693,693,1466,1980,0.3490050100772978
C0084,3,8,3,14,0,3,3,14,24,0.526936574387684
C0085,993,836,736,723,643,993,993,1755,2189,0.5523616353091071
C0086,1368,1199,1107,1010,927,1368,1368,2555,3164,0.42937071209048044
C0087,35,30,24,15,33,35,35,81,123,0.29936566537834963
C0088,1082,808,805,680,709,1082,1082,2060,2646,0.38549019356266034
C0089,768,685,726,671,742,768,768,1651,2286,0.26695425776375653
C0090,19,40,38,28,13,19,19,88,122,0.23819478653376358
C0091,547,501,393,401,407,547,547,1032,1324,0.31076417990622957
C0092,7,10,6,9,6,7,7,22,36,0.11716273850013019
C0093,594,470,391,382,393,594,594,1090,1421,0.30351607527204305
C0094,1001,776,823,754,788,1001,1001,1826,2379,0.4270442453570921
C0095,126,113,92,60,84,126,126,303,417,0.26189348252344746
C0096,31,14,19,20,16,31,31,63,96,0.11633789495413008
C0097,237,207,207,210,142,237,237,539,762,0.293180068286916
C0098,859,685,653,623,538,859,859,1629,2098,0.40598569781163063
C0099,24,11,18,10,23,24,24,53,78,0.26444490755827527
C0100,586,551,478,507,517,586,586,1122,1518,0.28162910952939935
C0101,363,459,372,359,355,363,363,1016,1433,0.15223506773244044
C0102,1124,903,813,821,701,1124,1124,2029,2559,0.38424825112203
C0103,893,732,869,854,833,893,893,1746,2317,0.4881361463353076
C0104,500,434,419,387,434,500,500,1087,1514,0.2499036447972061
C0105,1108,1077,991,952,884,1108,1108,2170,2752,0.46244218064660814
C0106,1444,1306,1077,791,739,1444,1444,2789,3345,0.36348506285281595
C0107,211,236,226,197,213,211,211,579,840,0.38537226664959406
