family,trial,spearman,top20_overlap,max_rank_shift,weight_volume,weight_citation,weight_institutions,weight_persistence,weight_current,weight_multiyear_growth,weight_recent_growth,weight_trend,weight_quarter_consistency,weight_institution_expansion,weight_patents,weight_policies,weight_relative_share,weight_papers
core,0,0.9999747518917775,1.0,5.0,0.4042666944576516,0.2012877230008997,0.13942424973368603,0.14918105810998883,0.105840274697774,,,,,,,,,
core,1,0.9999070236013587,1.0,10.0,0.3788155715170623,0.2041821666600212,0.1321603096062426,0.17862070311469447,0.10622124910197939,,,,,,,,,
core,2,0.9988899472401352,0.95,22.0,0.3893753118589868,0.22711334975704567,0.1676003349041215,0.12324584559006309,0.09266515788978308,,,,,,,,,
core,3,0.9998026711538952,1.0,10.0,0.36167012999976555,0.20505067092396323,0.18042085678722253,0.1459057941049818,0.10695254818406695,,,,,,,,,
core,4,0.9997777590470723,1.0,11.0,0.3999889011383909,0.2059409935447393,0.15320949859569455,0.16476953990355261,0.0760910668176227,,,,,,,,,
core,5,0.9994981578481424,1.0,14.0,0.42916914601434963,0.18048776637252092,0.13493551635665704,0.1545288757487995,0.10087869550767292,,,,,,,,,
core,6,0.9996930866839973,1.0,12.0,0.4448530319478823,0.18514529592679155,0.14215062807914713,0.13829018174395658,0.08956086230222228,,,,,,,,,
core,7,0.9996001582855203,0.95,12.0,0.3995310250391825,0.21632152400066507,0.15563711124527965,0.1296356755902327,0.0988746641246402,,,,,,,,,
core,8,0.9999563198127408,1.0,6.0,0.4126573805992826,0.20256193756800794,0.1496728495565306,0.1350151790769384,0.10009265319924034,,,,,,,,,
core,9,0.9998011831475148,1.0,9.0,0.39206573592598887,0.18560174874232882,0.15650930918415737,0.16102610804194234,0.10479709810558269,,,,,,,,,
core,10,0.9995585901072758,0.95,15.0,0.3711743433472963,0.21543208352761287,0.15537133329648334,0.16951503724434983,0.08850720258425776,,,,,,,,,
core,11,0.999630110413955,1.0,13.0,0.3944697773444601,0.1814700437123629,0.16445465502011863,0.14130491405776574,0.11830060986529255,,,,,,,,,
core,12,0.9991853405067815,0.95,19.0,0.3583766171589816,0.22566041660491465,0.1506138755028726,0.15904014318686754,0.10630894754636361,,,,,,,,,
core,13,0.999854607376598,1.0,13.0,0.4266322612191854,0.1903068640783648,0.16741671405109596,0.13758505696008747,0.07805910369126642,,,,,,,,,
core,14,0.9998376633039417,1.0,9.0,0.3953940796688389,0.18468182820694984,0.18206640885157296,0.14132947238117763,0.09652821089146058,,,,,,,,,
core,15,0.9988054668778835,0.95,23.0,0.3991128001170525,0.23385724369706873,0.13899672231212534,0.13654759367977135,0.09148564019398203,,,,,,,,,
core,16,0.9982163123515888,0.95,28.0,0.47241036606554226,0.16158084077613977,0.1289747713833646,0.13636476020745036,0.100669261567503,,,,,,,,,
core,17,0.9996435984717917,0.95,13.0,0.413874206915285,0.21290518934351704,0.16034482636792344,0.11715557580593657,0.09572020156733813,,,,,,,,,
