category_id,name,domain,status,analysis_scope,admissible_pool,direct_energy,year0_papers,year0_denominator,year0_share,year1_papers,year1_denominator,year1_share,year2_papers,year2_denominator,year2_share,year3_papers,year3_denominator,year3_share,year4_papers,year4_denominator,year4_share,recent_papers,previous_papers,share_growth_ratio,baseline_years_used,baseline_papers,baseline_annual_mean_papers,baseline_mean_share,multiyear_share_ratio,historical_peak_ratio,three_year_log_share_slope,growing_quarters,active_quarters,core_years,core_papers,core_mean_annual_share,core_active_quarters,core_active_years,core_persistence,recent_institutions,core_institutions,baseline_mean_institutions,institution_expansion,citation_cohort_percentile,pooled_baseline_share,pooled_share_ratio,share_ratio_lower95,growth_count_pvalue,growth_count_qvalue,core_score,emerging_score,core_eligible,emerging_eligible,trajectory,end_quarter,core_numeric_candidate,emerging_numeric_candidate,core_failed_gates,emerging_failed_gates,core_rank,emerging_rank,abstract_available_core_candidate,abstract_available_emerging_candidate,abstract_available_multiyear_ratio,abstract_available_yoy_ratio,title_year_dedup_core_candidate,title_year_dedup_emerging_candidate,title_year_dedup_multiyear_ratio,title_year_dedup_yoy_ratio,exclude_jan1_core_candidate,exclude_jan1_emerging_candidate,exclude_jan1_multiyear_ratio,exclude_jan1_yoy_ratio,core_robust_candidate,emerging_robust_candidate,scope_review_status
N0315,Biochar / Pulp and paper industry / Charcoal,待主题范围审阅,NMF关键词主题,待主题范围审阅,True,False,87,11974,0.0071580497382198955,66,11985,0.005435226808336739,59,9992,0.005809412224174966,53,7998,0.006486420950533462,39,7996,0.004790201309725928,87,66,1.3169735119867731,3,178,59.333333333333336,0.005910353327681722,1.2111035231505474,1.1035438175857515,0.10437908071408897,3,4,3,212,0.0061342295902438665,12,3,1.0,185,425,131.33333333333334,1.4055415617128462,0.6213363811831515,0.005905707196029777,1.2120563212195872,0.9385061531900927,0.06059546518603038,0.36068729277399036,98.4,70.15,False,False,平稳或增长证据不足,2026Q2,True,False,,multiyear | lower95 | qvalue,1,141,False,False,1.492093521065497,1.3002910746087173,True,False,1.213106987471735,1.318380247937096,True,False,1.132090028615109,1.2959968448037862,False,False,待主题与代表文献审阅
N0172,Thermal energy storage / Phase-change material / Latent heat,待主题范围审阅,NMF关键词主题,待主题范围审阅,True,False,67,11974,0.005521924083769634,56,11985,0.0046178994687372295,65,9992,0.006395235305604374,63,7998,0.007698836081474297,41,7996,0.005032743148193063,67,56,1.1957653303525924,3,184,61.333333333333336,0.006237323618605299,0.8853034444610663,0.7172414148493219,-0.07341343207326378,3,4,3,188,0.005511686286037079,12,3,1.0,153,348,129.33333333333334,1.1815856777493605,0.5693350364307992,0.006104218362282879,0.9046078885199846,0.6845029198786905,0.7425628401480656,0.999999583780761,95.30000000000001,53.52,False,False,历史峰值以下的恢复或波动,2026Q2,True,False,,multiyear | trend | peak | lower95 | qvalue,8,235,False,False,0.9085499026533933,1.360519610736168,True,False,0.8868155078124665,1.1970425967995226,False,False,0.8271860234544351,1.1394674585290174,False,False,待主题与代表文献审阅
N0166,Thermal / Process engineering / Mechanical engineering,待主题范围审阅,NMF关键词主题,待主题范围审阅,True,False,117,11974,0.009612238219895288,99,11985,0.008132407029015121,45,9992,0.0044424917008396795,29,7998,0.0035766246362754607,38,7996,0.00466893039049236,117,99,1.1819671821147621,3,173,57.666666666666664,0.005383841122043421,1.7853866787671833,1.1819671821147621,0.3859108441217516,3,4,3,261,0.007395712316583362,12,3,1.0,217,431,106.66666666666667,2.024767801857585,0.47794525200499016,0.005740281224152192,1.6745239204399716,1.3249271494598374,4.001134646694929e-06,0.0002500709154184331,90.76,83.97,False,False,多年背景上持续抬升,2026Q2,True,True,,,20,64,False,False,1.8732729598177196,1.140137921724359,True,True,1.7880264939158776,1.183229709957615,True,True,1.8261782161235112,1.1824243077943297,False,True,待主题与代表文献审阅
N0070,Artificial neural network / Artificial intelligence / Machine learning,待主题范围审阅,NMF关键词主题,待主题范围审阅,True,False,85,11974,0.006994437172774869,56,11985,0.0046178994687372295,51,9992,0.005028314782269088,45,7998,0.005516488845780795,40,7996,0.0049114722289594955,85,56,1.5146360851132834,3,152,50.666666666666664,0.005054234365595704,1.3838766995820717,1.2679146769460905,0.16501512444460875,4,4,3,192,0.005546883807927062,12,3,1.0,143,321,103.66666666666667,1.375796178343949,0.47981705071013275,0.005045492142266336,1.3862745150630846,1.0637652176215686,0.006164879282455834,0.08562332336744213,89.49000000000001,79.10000000000001,False,False,多年背景上持续抬升,2026Q2,True,False,,qvalue,27,84,False,False,1.3663229164039599,1.4411429950760892,True,False,1.3861673386771434,1.516253955946062,False,False,1.260967581465488,1.4267281623598622,False,False,待主题与代表文献审阅
N0474,Reinforcement learning / Convergence (economics) / Artificial intelligence,待主题范围审阅,NMF关键词主题,待主题范围审阅,True,False,93,11974,0.007648887434554974,67,11985,0.005516959542296689,44,9992,0.004344854520601445,34,7998,0.004182832201745878,27,7996,0.0033349502789231144,93,67,1.3864316705448905,3,145,48.333333333333336,0.004681548754881338,1.6338369704213085,1.3864316705448905,0.28278396386932014,2,4,3,204,0.005836900499151036,12,3,1.0,151,279,83.33333333333333,1.8023715415019763,0.4566378857847195,0.0048138957816377176,1.588918369136935,1.2253987868748004,0.0001544421792697522,0.0035100495288580046,88.34,81.25000000000001,False,False,多年背景上持续抬升,2026Q2,True,False,,quarters,30,78,False,False,1.4933607567587186,1.23444213361223,True,True,1.636412245063274,1.38791259879126,False,True,1.8371340377629246,1.675687439013261,False,False,待主题与代表文献审阅
N0493,Sustainable development / Economic growth / Sustainable energy,待主题范围审阅,NMF关键词主题,待主题范围审阅,True,False,91,11974,0.007485274869109947,54,11985,0.004454434000817327,45,9992,0.0044424917008396795,25,7998,0.003091658583899127,19,7996,0.0023647829250545717,91,54,1.6804098719919305,3,124,41.333333333333336,0.003996194761852045,1.873100615756996,1.6804098719919305,0.26086116347038235,4,4,3,190,0.005460733523588984,12,3,1.0,145,342,84.66666666666667,1.7042801556420233,0.43769067977542714,0.0041191066997518615,1.8172082965369327,1.3873713504895646,3.6301515810156125e-06,0.0002500709154184331,87.18,89.12,False,False,多年背景上持续抬升,2026Q2,True,True,,,35,33,False,True,2.287446691341812,2.220415122283703,True,True,1.8760650532306191,1.6822048154412046,False,True,1.8244671214924442,1.6776617393832323,False,True,待主题与代表文献审阅
N0269,Sustainability / Ecology / Environmental resource management,待主题范围审阅,NMF关键词主题,待主题范围审阅,True,False,86,11974,0.007076243455497382,59,11985,0.004863097670617082,47,9992,0.004637766061316149,16,7998,0.0020004849660523764,15,7996,0.0018796992481203006,86,59,1.4550897256808484,3,122,40.666666666666664,0.003833782899328536,1.8457600863984092,1.4550897256808484,0.2112551917567158,2,4,3,192,0.0055257023958102044,12,3,1.0,176,371,77.33333333333333,2.2595744680851064,0.4225288490831349,0.0040529363110008276,1.7459547627951704,1.3258253922264116,2.080429273455616e-05,0.0006501341479548799,86.89000000000001,82.65,False,False,多年背景上持续抬升,2026Q2,True,False,,quarters,36,71,False,False,1.7185415989911144,1.5126046311955648,True,False,1.8272066860355756,1.4398041766546639,False,True,1.9276461975116137,1.643769583032056,False,False,待主题与代表文献审阅
N0038,Energy (signal processing) / Statistics / Mathematics,待主题范围审阅,NMF关键词主题,待主题范围审阅,True,False,94,11974,0.007730693717277487,90,11985,0.007396812423375562,59,9992,0.005809412224174966,30,7998,0.0036978661493695443,20,7996,0.0024860538442881396,94,90,1.0451385373579012,3,179,59.666666666666664,0.005634696932306691,1.3719803940036845,1.0451385373579012,0.14285960128215303,3,4,3,243,0.006978972788276004,11,3,0.9166666666666666,156,357,89.66666666666667,1.7316176470588234,0.3211797981947895,0.005938792390405294,1.3017282317811254,1.014694259327912,0.015340326677892752,0.1420400618323403,80.91999999999999,71.88,False,False,平稳或增长证据不足,2026Q2,True,False,,recent_growth | peak | lower95 | qvalue,62,127,False,False,1.4333121202665582,1.0782299802732627,True,False,1.3740738262941021,1.0462549105728425,True,False,1.47409030985067,1.0244396240057847,False,False,待主题与代表文献审阅
