doc_id,source,date,topic_1_id,topic_1_cosine,top1_top2_margin,needs_review,similarity_filter_passed,category_id
patent:CN119812854,patent,2025-04-11,476,0.6604358,0.001167655,True,False,N0477
patent:CN119853241,patent,2025-04-18,379,0.68431205,0.0016914606,True,True,N0380
patent:CN119853414,patent,2025-04-18,1,0.72913367,0.002099216,True,True,N0002
patent:CN119853459,patent,2025-04-18,436,0.7296155,0.022151232,True,True,N0437
patent:CN119853460,patent,2025-04-18,149,0.78192604,0.0031613708,True,True,N0150
patent:CN119853485,patent,2025-04-18,9,0.7212736,0.005829096,True,True,N0010
patent:CN119864728,patent,2025-04-22,1,0.6979544,0.010067463,True,True,N0002
patent:CN119865070,patent,2025-04-22,1,0.6907353,0.0021972656,True,True,N0002
patent:CN119891217,patent,2025-04-25,195,0.75631905,0.0028705597,True,True,N0196
patent:CN119895688,patent,2025-04-25,33,0.7321259,0.024391472,True,True,N0034
patent:CN119913570,patent,2025-05-02,379,0.75152516,0.02021718,True,True,N0380
patent:CN119944668,patent,2025-05-06,249,0.7530367,0.012391329,True,True,N0250
patent:CN119965952,patent,2025-05-09,190,0.68886167,0.0033575296,True,True,N0191
patent:CN119966002,patent,2025-05-09,15,0.733839,0.0029504895,True,True,N0016
patent:CN119966258,patent,2025-05-09,436,0.6957955,0.00035506487,True,False,N0437
patent:CN119995106,patent,2025-05-13,1,0.68131155,0.00083881617,True,False,N0002
patent:CN120033755,patent,2025-05-23,362,0.68322545,0.0010246634,True,False,N0363
patent:CN120034003,patent,2025-05-23,307,0.72504884,0.0018240213,True,True,N0308
patent:CN120049588,patent,2025-05-27,195,0.7365667,0.016709507,True,True,N0196
patent:CN120109897,patent,2025-06-06,212,0.69753194,0.0016518831,True,False,N0213
patent:CN120124789,patent,2025-06-10,410,0.7444499,0.0039069653,True,True,N0411
patent:CN120127608,patent,2025-06-10,359,0.69972944,0.029469788,True,True,N0360
patent:CN120163680,patent,2025-06-17,53,0.74614745,0.010389507,True,True,N0054
patent:CN120165566,patent,2025-06-17,338,0.7343673,0.005215943,True,True,N0339
patent:CN120166168,patent,2025-06-17,333,0.67621595,0.029443026,True,False,N0334
patent:CN120200336,patent,2025-06-24,33,0.6822312,0.022473335,True,True,N0034
patent:CN120200338,patent,2025-06-24,190,0.7153174,0.0023002028,True,True,N0191
patent:CN120200483,patent,2025-06-24,246,0.7290485,0.008440375,True,True,N0247
patent:CN120276230,patent,2025-07-08,355,0.65328467,0.0011636615,True,False,N0356
patent:CN120281061,patent,2025-07-08,1,0.7046441,0.0061086416,True,True,N0002
patent:CN120295446,patent,2025-07-11,1,0.70255494,0.0090072155,True,True,N0002
patent:CN120300658,patent,2025-07-11,440,0.6795092,0.004547775,True,True,N0441
patent:CN120300927,patent,2025-07-11,275,0.7163888,0.0054070354,True,True,N0276
patent:CN120300956,patent,2025-07-11,33,0.7238385,0.04262656,True,True,N0034
patent:CN120357601,patent,2025-07-22,33,0.68605167,0.0013707876,True,False,N0034
patent:CN120373546,patent,2025-07-25,52,0.72354305,0.0023825169,True,True,N0053
patent:CN120389462,patent,2025-07-29,1,0.6957551,0.0015944242,True,False,N0002
patent:CN120389515,patent,2025-07-29,188,0.73294884,0.0123797655,True,True,N0189
patent:CN120410064,patent,2025-08-01,253,0.7330862,0.012840867,True,True,N0254
patent:CN120414428,patent,2025-08-01,399,0.6654649,0.005600095,True,False,N0400
patent:CN120414465,patent,2025-08-01,457,0.75206244,0.010217428,True,True,N0458
patent:CN120414520,patent,2025-08-01,21,0.73183966,0.007379174,True,True,N0022
patent:CN120414525,patent,2025-08-01,379,0.7361726,0.019358456,True,True,N0380
patent:CN120414759,patent,2025-08-01,379,0.74029255,0.00605464,True,True,N0380
patent:CN120433351,patent,2025-08-05,411,0.6885983,0.0117147565,True,True,N0412
patent:CN120434284,patent,2025-08-05,399,0.7056099,0.020284414,True,True,N0400
patent:CN120446591,patent,2025-08-08,460,0.70857763,0.0009123087,True,False,N0461
patent:CN120449061,patent,2025-08-08,472,0.6999922,0.008244514,True,True,N0473
patent:CN120454111,patent,2025-08-08,9,0.71511173,0.009954691,True,True,N0010
patent:CN120470413,patent,2025-08-12,472,0.7134726,0.022942424,True,True,N0473
patent:CN120511637,patent,2025-08-19,28,0.732453,0.00072062016,True,False,N0029
patent:CN120527941,patent,2025-08-22,355,0.7547167,0.005386114,True,True,N0356
patent:CN120528210,patent,2025-08-22,195,0.71737945,0.009835541,True,True,N0196
patent:CN120541861,patent,2025-08-26,379,0.72564936,0.00251925,True,True,N0380
patent:CN120545961,patent,2025-08-26,15,0.7849556,0.03284967,True,True,N0016
patent:CN120546069,patent,2025-08-26,379,0.7725098,0.012203753,True,True,N0380
patent:CN120566653,patent,2025-08-29,33,0.73286283,0.015148997,True,True,N0034
patent:CN120601519,patent,2025-09-05,43,0.7146671,0.0064199567,True,True,N0044
patent:CN120601839,patent,2025-09-05,153,0.7361276,0.00043600798,True,False,N0154
patent:CN120603191,patent,2025-09-05,156,0.6647694,0.006557524,True,False,N0157
patent:CN120604419,patent,2025-09-05,190,0.6598623,0.004496157,True,False,N0191
patent:CN120638254,patent,2025-09-12,289,0.72149307,0.0076918006,True,True,N0290
patent:CN120657884,patent,2025-09-16,190,0.69525516,0.007428527,True,True,N0191
patent:CN120675178,patent,2025-09-19,28,0.738451,0.005294442,True,True,N0029
patent:CN120675243,patent,2025-09-19,33,0.6683395,0.019796014,True,False,N0034
patent:CN120691542,patent,2025-09-23,195,0.72439945,0.00042581558,True,False,N0196
patent:CN120710057,patent,2025-09-26,355,0.7641562,0.011279464,True,True,N0356
patent:CN120728272,patent,2025-09-30,1,0.67105544,0.0015640855,True,False,N0002
patent:CN120749676,patent,2025-10-03,1,0.69198406,0.011483848,True,True,N0002
patent:CN120749848,patent,2025-10-03,437,0.7520958,0.006777644,True,True,N0438
patent:CN120752827,patent,2025-10-03,292,0.67169285,0.013032317,True,False,N0293
patent:CN120767815,patent,2025-10-10,28,0.73044175,0.007585585,True,True,N0029
patent:CN120767963,patent,2025-10-10,33,0.7069368,0.013670683,True,True,N0034
patent:CN120784851,patent,2025-10-14,459,0.7502649,0.0027248263,True,True,N0460
patent:CN120793021,patent,2025-10-17,195,0.68279845,0.0011780262,True,False,N0196
patent:CN120802958,patent,2025-10-17,289,0.7284049,0.014368296,True,True,N0290
patent:CN120810785,patent,2025-10-17,411,0.7309862,0.008062243,True,True,N0412
patent:CN120811098,patent,2025-10-17,436,0.72093326,0.0072794557,True,True,N0437
patent:CN120834552,patent,2025-10-24,379,0.74948466,0.014180124,True,True,N0380
patent:CN120896164,patent,2025-11-04,355,0.75820816,0.015775442,True,True,N0356
patent:CN120896444,patent,2025-11-04,195,0.6649945,0.000233531,True,False,N0196
patent:CN120934336,patent,2025-11-11,110,0.6982172,0.008549392,True,True,N0111
patent:CN120955758,patent,2025-11-14,33,0.75036734,0.0061473846,True,True,N0034
patent:CN120958456,patent,2025-11-14,196,0.6935173,0.00023049116,True,False,N0197
patent:CN120978309,patent,2025-11-18,33,0.7192875,0.0081576705,True,True,N0034
patent:CN120978829,patent,2025-11-18,253,0.75523823,0.0015508533,True,False,N0254
patent:CN120982011,patent,2025-11-18,1,0.69001746,0.0030537844,True,True,N0002
patent:CN120999822,patent,2025-11-21,33,0.72168577,0.028496444,True,True,N0034
patent:CN121013396,patent,2025-11-25,333,0.7236919,0.006097913,True,True,N0334
patent:CN121035973,patent,2025-11-28,102,0.7451467,0.014140308,True,True,N0103
patent:CN121036315,patent,2025-11-28,359,0.7463882,0.010933876,True,True,N0360
patent:CN121055459,patent,2025-12-02,9,0.68355834,0.00701499,True,True,N0010
patent:CN121076735,patent,2025-12-05,472,0.71768844,0.0039187074,True,True,N0473
patent:CN121145695,patent,2025-12-16,15,0.73615587,0.0062510967,True,True,N0016
patent:CN121172396,patent,2025-12-19,420,0.60943377,0.013866246,True,False,N0421
patent:CN121172903,patent,2025-12-19,60,0.74755377,0.011756003,True,True,N0061
patent:CN121172989,patent,2025-12-19,52,0.6873561,0.0002990365,True,False,N0053
patent:CN121192650,patent,2025-12-23,411,0.7411911,0.00293082,True,True,N0412
patent:CN121192893,patent,2025-12-23,195,0.67965806,0.013194501,True,True,N0196
patent:CN121193203,patent,2025-12-23,43,0.71756583,0.00086551905,True,False,N0044
patent:CN201811366310.X,patent,2025-01-21,135,0.6822638,0.0023160577,True,True,N0136
patent:CN201911110287.2,patent,2025-03-04,15,0.7599549,0.0024363995,True,True,N0016
patent:CN201911114827.4,patent,2026-01-23,130,0.70653325,0.015958607,True,True,N0131
patent:CN201911126459.5,patent,2025-08-15,433,0.69273436,0.012357354,True,True,N0434
patent:CN202010181971.6,patent,2025-02-11,379,0.6922294,0.003692329,True,True,N0380
patent:CN202011112675.7,patent,2026-01-20,226,0.7268523,0.0048544407,True,True,N0227
patent:CN202011374912.7,patent,2026-03-03,190,0.6991997,0.017447114,True,True,N0191
patent:CN202011567712.3,patent,2026-02-03,322,0.70169866,0.0114218,True,True,N0323
patent:CN202080039648.3,patent,2026-03-17,241,0.6724714,0.0041721463,True,False,N0242
patent:CN202080097988.1,patent,2026-05-26,292,0.6880741,0.0021768808,True,True,N0293
patent:CN202110524241.6,patent,2026-04-28,322,0.6871697,0.014506638,True,True,N0323
patent:CN202110711200.8,patent,2026-02-27,128,0.7570624,0.012344539,True,True,N0129
patent:CN202110774823.X,patent,2026-05-01,173,0.6593247,0.0020548105,True,False,N0174
patent:CN202110889407.4,patent,2026-04-28,13,0.65692157,0.009580195,True,False,N0014
patent:CN202111021767.9,patent,2025-02-11,24,0.7676649,0.007435322,True,True,N0025
patent:CN202111433059.6,patent,2026-01-09,33,0.7253745,0.017489314,True,True,N0034
patent:CN202111511370.8,patent,2025-02-14,400,0.7314842,0.010357559,True,True,N0401
patent:CN202111539574.2,patent,2026-04-10,247,0.69533914,0.0005374551,True,False,N0248
patent:CN202111599737.6,patent,2026-06-02,276,0.6665398,0.02861613,True,False,N0277
patent:CN202180008837.9,patent,2026-04-17,440,0.68595105,0.00046938658,True,False,N0441
patent:CN202180017632.7,patent,2026-03-31,104,0.7108218,0.007586539,True,True,N0105
patent:CN202180026470.3,patent,2026-03-27,479,0.7889659,0.018024147,True,True,N0480
patent:CN202180033117.8,patent,2026-02-06,315,0.7432858,0.006831169,True,True,N0316
patent:CN202180034980.5,patent,2026-04-10,33,0.6680063,0.009855151,True,False,N0034
patent:CN202180046164.6,patent,2026-04-03,29,0.6914923,0.0026045442,True,True,N0030
patent:CN202210048595.2,patent,2026-03-13,479,0.7569006,0.012154877,True,True,N0480
