category_id,year0_institutions,year1_institutions,year2_institutions,year3_institutions,year4_institutions,recent_institutions,core_institutions_1y,core_institutions_3y,core_institutions_5y,citation_cohort_percentile
N0225,4,39,19,6,6,4,4,62,72,0.3776482207443848
N0226,66,44,65,43,40,66,66,162,220,0.5204991165286664
N0227,19,7,33,20,46,19,19,58,116,0.324719893513525
N0228,65,67,39,46,46,65,65,162,228,0.5108387858780128
N0229,1,2,9,18,2,1,1,12,32,0.20351802344944464
N0230,67,56,54,17,9,67,67,169,192,0.5518645148979928
N0231,86,36,67,30,65,86,86,177,251,0.5313790039656168
N0232,15,38,52,48,46,15,15,104,188,0.4023561097124765
N0233,4,41,43,33,36,4,4,88,145,0.5298123026982032
N0234,20,15,1,7,7,20,20,35,48,0.3881323588180728
N0235,6,16,20,31,13,6,6,41,84,0.4800525828523741
N0236,17,21,11,3,10,17,17,49,62,0.13295841877210107
N0237,43,16,44,9,23,43,43,101,130,0.42602757225154214
N0238,29,23,24,22,47,29,29,75,134,0.4159873243996565
N0239,20,27,12,8,10,20,20,57,73,0.5915354650528001
N0240,7,24,5,11,10,7,7,36,57,0.5759496554622631
N0241,33,19,34,25,53,33,33,82,148,0.3762601800786052
N0242,18,7,26,12,17,18,18,48,76,0.38872969479837866
N0243,138,115,102,94,70,138,138,307,407,0.6198588494719739
N0244,118,47,73,39,99,118,118,215,322,0.5226547115126651
N0245,17,22,28,29,14,17,17,63,100,0.4396511265629703
N0246,82,54,39,18,12,82,82,164,189,0.5555696497802995
N0247,41,14,35,15,27,41,41,84,118,0.4428459395145982
N0248,53,31,33,20,39,53,53,113,161,0.4314577905136717
N0249,32,8,25,23,32,32,32,63,110,0.5223280692179546
N0250,62,44,33,40,40,62,62,134,206,0.3181980617510679
N0251,44,35,26,37,20,44,44,101,149,0.46240302616811396
N0252,18,30,18,11,35,18,18,65,109,0.3274839655605369
N0253,5,22,17,0,13,5,5,42,55,0.39829178478318533
N0254,116,56,72,54,38,116,116,230,302,0.4442729115503156
N0255,86,56,55,43,43,86,86,180,240,0.3609497633584477
N0256,66,95,31,11,14,66,66,173,193,0.4782618403191085
N0257,48,86,36,16,17,48,48,166,194,0.29412063956805573
N0258,58,30,34,14,15,58,58,119,144,0.5349507948004616
N0259,111,55,69,54,61,111,111,206,281,0.5587573945141507
N0260,19,25,15,28,28,19,19,58,105,0.5870922793893758
N0261,13,15,12,23,41,13,13,40,98,0.6269725024153412
N0262,39,73,55,38,37,39,39,151,197,0.5236412911132113
N0263,31,54,47,41,39,31,31,127,189,0.5540805568976027
N0264,102,91,115,94,73,102,102,269,371,0.5920485267230857
N0265,80,82,31,37,32,80,80,185,237,0.40976621901612614
N0266,16,27,18,13,14,16,16,59,84,0.30374091926760277
N0267,38,32,28,30,16,38,38,97,138,0.47800224472099667
N0268,65,191,95,33,31,65,65,312,357,0.5446549190952581
N0269,218,137,102,33,48,218,218,443,513,0.4309189638479351
N0270,59,37,21,42,35,59,59,115,189,0.3782780164420945
N0271,37,22,18,32,41,37,37,75,138,0.33134960239412214
N0272,44,85,60,16,29,44,44,184,221,0.43818553717217296
N0273,13,24,38,29,29,13,13,74,118,0.47440142699960647
N0274,44,27,76,18,26,44,44,117,133,0.3153697025487248
N0275,39,58,26,10,19,39,39,115,139,0.5487239922537497
N0276,63,56,53,38,60,63,63,170,250,0.433150454711862
N0277,52,58,43,25,40,52,52,140,193,0.4136715881846188
N0278,63,60,47,16,10,63,63,157,171,0.35484834667212894
N0279,16,68,43,20,30,16,16,124,170,0.5321813984244207
N0280,65,61,33,44,13,65,65,148,191,0.39476826096844425
N0281,1,7,14,34,7,1,1,22,62,0.6110246682014361
N0282,27,22,28,40,34,27,27,75,137,0.5012310854853151
N0283,23,37,40,37,25,23,23,98,155,0.5124878267560222
N0284,44,40,49,45,41,44,44,120,186,0.5871790062471326
N0285,40,29,30,21,11,40,40,96,126,0.3720113315774018
N0286,41,43,25,15,31,41,41,100,139,0.4637291741513387
N0287,64,60,64,85,46,64,64,166,272,0.4804352389889758
N0288,54,48,35,46,34,54,54,134,208,0.3854915459293301
N0289,17,14,14,27,28,17,17,44,93,0.4757125161158226
N0290,27,36,19,13,52,27,27,81,142,0.3200960518070103
N0291,46,28,28,42,38,46,46,99,174,0.5252354789416672
N0292,75,190,84,19,14,75,75,305,330,0.4961955365645754
N0293,46,18,22,9,14,46,46,82,102,0.30717277518922226
N0294,45,27,62,86,59,45,45,130,247,0.53225228037394
N0295,24,35,19,27,31,24,24,76,127,0.6565429696582458
N0296,33,35,24,38,28,33,33,88,141,0.38757796867696537
N0297,25,55,49,14,35,25,25,122,165,0.5019420262877552
N0298,7,16,5,5,21,7,7,27,53,0.3666127038748211
N0299,50,52,64,40,53,50,50,150,215,0.6120344619261118
N0300,62,43,32,30,42,62,62,133,192,0.39932316727327394
N0301,26,28,24,18,28,26,26,77,117,0.3712327036176665
N0302,21,6,4,28,10,21,21,31,67,0.4615137713984119
N0303,53,25,33,20,35,53,53,107,153,0.40228014671757123
N0304,27,6,11,25,18,27,27,44,81,0.33156979935418707
N0305,38,38,31,24,45,38,38,102,162,0.6214649909811419
N0306,22,41,19,8,11,22,22,79,96,0.36179026950175414
N0307,56,56,34,12,22,56,56,138,172,0.5636869821547726
N0308,15,22,19,46,22,15,15,55,113,0.36417539707684055
N0309,43,48,35,41,47,43,43,117,188,0.47129739650187313
N0310,11,70,26,8,20,11,11,104,128,0.5572567269822221
N0311,21,21,26,29,29,21,21,68,118,0.38636273300350155
N0312,20,43,15,3,5,20,20,76,83,0.4792553839445308
N0313,33,38,20,3,12,33,33,89,103,0.2171225617388537
N0314,19,10,50,21,24,19,19,76,118,0.45714284427390606
N0315,185,153,121,106,71,185,185,420,533,0.6275557264392196
N0316,64,50,54,36,48,64,64,151,219,0.5562543684921354
N0317,47,21,29,21,57,47,47,90,158,0.5186325980185348
N0318,27,16,15,14,23,27,27,56,88,0.35906589267116273
N0319,47,38,73,23,62,47,47,149,216,0.547787678786422
N0320,120,108,118,56,61,120,120,289,361,0.6171530044981898
N0321,43,9,36,32,29,43,43,84,135,0.3296461228920903
N0322,53,76,44,37,35,53,53,154,200,0.6335254796544492
N0323,11,7,13,34,19,11,11,31,83,0.2794178708127097
N0324,40,51,27,45,31,40,40,115,186,0.5502759131762155
N0325,54,41,30,26,41,54,54,120,166,0.5816075497086033
N0326,29,30,48,18,31,29,29,104,144,0.5793261918578811
N0327,25,44,56,47,13,25,25,115,154,0.45513003325183865
N0328,28,6,15,10,19,28,28,49,73,0.4741034808006107
N0329,36,16,11,18,8,36,36,60,81,0.3730474918770247
N0330,17,6,12,12,50,17,17,34,93,0.30563290004337007
N0331,63,87,67,77,73,63,63,208,328,0.5175978491894464
N0332,167,49,23,23,27,167,167,233,276,0.25264601931598474
N0333,7,4,5,15,11,7,7,16,42,0.5047200433276995
N0334,44,29,31,25,21,44,44,103,144,0.41355751232631066
N0335,65,141,54,28,9,65,65,228,245,0.6454037302550245
N0336,5,8,8,5,12,5,5,21,38,0.28789596377726806
N0337,60,25,16,28,33,60,60,101,157,0.39676934712815376
N0338,12,21,6,12,4,12,12,38,51,0.4660410365781515
N0339,80,22,40,22,20,80,80,134,163,0.347046796778102
N0340,17,21,26,34,43,17,17,61,126,0.4666568033547725
N0341,8,12,20,20,2,8,8,39,60,0.3312168582432158
N0342,33,12,22,5,15,33,33,66,82,0.37680119291631714
N0343,157,37,18,30,64,157,157,208,290,0.3502608463390473
N0344,28,74,56,63,40,28,28,150,232,0.7325892883694293
N0345,7,26,24,23,14,7,7,54,87,0.47739697335526643
N0346,57,33,43,52,44,57,57,129,210,0.5520331961710429
N0347,14,22,14,24,33,14,14,50,103,0.4498084414987935
N0348,66,45,38,39,37,66,66,145,209,0.5601128188415448
N0349,34,50,41,17,16,34,34,117,141,0.3449252120201487
N0350,61,43,37,43,36,61,61,118,169,0.5740982410879697
