unit_id,category_id,name,scenario,kind,selected,patents,papers,applicants,policies,relative_share,matched_jan_may_relative_share,score
U0650,C0650,空气源热泵设备、运行与系统应用,"policies=2,relative=1.0",joint_grid,True,285,173,231,4,1.8514152302353448,1.8908096633723603,62.5
U0356_KG,C0356,电力知识图谱与知识问答,"policies=2,relative=1.0",joint_grid,False,803,26,565,1,34.11435824012507,33.621222118979965,68.75
U0356_LLM,C0356,电力大模型辅助决策与运维,"policies=2,relative=1.0",joint_grid,True,566,132,380,2,4.81040048364178,5.076171001667436,62.5
U0246,C0246,虚拟电厂资源聚合、调度与市场履约,"policies=2,relative=1.25",joint_grid,True,659,424,436,6,1.7479713250204845,1.618839430880806,87.5
U0650,C0650,空气源热泵设备、运行与系统应用,"policies=2,relative=1.25",joint_grid,True,285,173,231,4,1.8514152302353448,1.8908096633723603,62.5
U0356_KG,C0356,电力知识图谱与知识问答,"policies=2,relative=1.25",joint_grid,False,803,26,565,1,34.11435824012507,33.621222118979965,68.75
U0356_LLM,C0356,电力大模型辅助决策与运维,"policies=2,relative=1.25",joint_grid,True,566,132,380,2,4.81040048364178,5.076171001667436,62.5
U0246,C0246,虚拟电厂资源聚合、调度与市场履约,"policies=2,relative=1.5",joint_grid,True,659,424,436,6,1.7479713250204845,1.618839430880806,87.5
U0650,C0650,空气源热泵设备、运行与系统应用,"policies=2,relative=1.5",joint_grid,True,285,173,231,4,1.8514152302353448,1.8908096633723603,62.5
U0356_KG,C0356,电力知识图谱与知识问答,"policies=2,relative=1.5",joint_grid,False,803,26,565,1,34.11435824012507,33.621222118979965,68.75
U0356_LLM,C0356,电力大模型辅助决策与运维,"policies=2,relative=1.5",joint_grid,True,566,132,380,2,4.81040048364178,5.076171001667436,62.5
U0246,C0246,虚拟电厂资源聚合、调度与市场履约,"policies=2,relative=2.0",joint_grid,False,659,424,436,6,1.7479713250204845,1.618839430880806,87.5
U0650,C0650,空气源热泵设备、运行与系统应用,"policies=2,relative=2.0",joint_grid,False,285,173,231,4,1.8514152302353448,1.8908096633723603,62.5
U0356_KG,C0356,电力知识图谱与知识问答,"policies=2,relative=2.0",joint_grid,False,803,26,565,1,34.11435824012507,33.621222118979965,68.75
U0356_LLM,C0356,电力大模型辅助决策与运维,"policies=2,relative=2.0",joint_grid,True,566,132,380,2,4.81040048364178,5.076171001667436,62.5
U0246,C0246,虚拟电厂资源聚合、调度与市场履约,"policies=2,relative=3.0",joint_grid,False,659,424,436,6,1.7479713250204845,1.618839430880806,87.5
U0650,C0650,空气源热泵设备、运行与系统应用,"policies=2,relative=3.0",joint_grid,False,285,173,231,4,1.8514152302353448,1.8908096633723603,62.5
U0356_KG,C0356,电力知识图谱与知识问答,"policies=2,relative=3.0",joint_grid,False,803,26,565,1,34.11435824012507,33.621222118979965,68.75
U0356_LLM,C0356,电力大模型辅助决策与运维,"policies=2,relative=3.0",joint_grid,True,566,132,380,2,4.81040048364178,5.076171001667436,62.5
U0246,C0246,虚拟电厂资源聚合、调度与市场履约,"policies=2,relative=5.0",joint_grid,False,659,424,436,6,1.7479713250204845,1.618839430880806,87.5
U0650,C0650,空气源热泵设备、运行与系统应用,"policies=2,relative=5.0",joint_grid,False,285,173,231,4,1.8514152302353448,1.8908096633723603,62.5
U0356_KG,C0356,电力知识图谱与知识问答,"policies=2,relative=5.0",joint_grid,False,803,26,565,1,34.11435824012507,33.621222118979965,68.75
U0356_LLM,C0356,电力大模型辅助决策与运维,"policies=2,relative=5.0",joint_grid,False,566,132,380,2,4.81040048364178,5.076171001667436,62.5
U0246,C0246,虚拟电厂资源聚合、调度与市场履约,"policies=3,relative=1.0",joint_grid,True,659,424,436,6,1.7479713250204845,1.618839430880806,87.5
U0650,C0650,空气源热泵设备、运行与系统应用,"policies=3,relative=1.0",joint_grid,True,285,173,231,4,1.8514152302353448,1.8908096633723603,62.5
U0356_KG,C0356,电力知识图谱与知识问答,"policies=3,relative=1.0",joint_grid,False,803,26,565,1,34.11435824012507,33.621222118979965,68.75
U0356_LLM,C0356,电力大模型辅助决策与运维,"policies=3,relative=1.0",joint_grid,False,566,132,380,2,4.81040048364178,5.076171001667436,62.5
U0246,C0246,虚拟电厂资源聚合、调度与市场履约,"policies=3,relative=1.25",joint_grid,True,659,424,436,6,1.7479713250204845,1.618839430880806,87.5
U0650,C0650,空气源热泵设备、运行与系统应用,"policies=3,relative=1.25",joint_grid,True,285,173,231,4,1.8514152302353448,1.8908096633723603,62.5
U0356_KG,C0356,电力知识图谱与知识问答,"policies=3,relative=1.25",joint_grid,False,803,26,565,1,34.11435824012507,33.621222118979965,68.75
U0356_LLM,C0356,电力大模型辅助决策与运维,"policies=3,relative=1.25",joint_grid,False,566,132,380,2,4.81040048364178,5.076171001667436,62.5
U0246,C0246,虚拟电厂资源聚合、调度与市场履约,"policies=3,relative=1.5",joint_grid,True,659,424,436,6,1.7479713250204845,1.618839430880806,87.5
U0650,C0650,空气源热泵设备、运行与系统应用,"policies=3,relative=1.5",joint_grid,True,285,173,231,4,1.8514152302353448,1.8908096633723603,62.5
U0356_KG,C0356,电力知识图谱与知识问答,"policies=3,relative=1.5",joint_grid,False,803,26,565,1,34.11435824012507,33.621222118979965,68.75
U0356_LLM,C0356,电力大模型辅助决策与运维,"policies=3,relative=1.5",joint_grid,False,566,132,380,2,4.81040048364178,5.076171001667436,62.5
U0246,C0246,虚拟电厂资源聚合、调度与市场履约,"policies=3,relative=2.0",joint_grid,False,659,424,436,6,1.7479713250204845,1.618839430880806,87.5
U0650,C0650,空气源热泵设备、运行与系统应用,"policies=3,relative=2.0",joint_grid,False,285,173,231,4,1.8514152302353448,1.8908096633723603,62.5
U0356_KG,C0356,电力知识图谱与知识问答,"policies=3,relative=2.0",joint_grid,False,803,26,565,1,34.11435824012507,33.621222118979965,68.75
U0356_LLM,C0356,电力大模型辅助决策与运维,"policies=3,relative=2.0",joint_grid,False,566,132,380,2,4.81040048364178,5.076171001667436,62.5
U0246,C0246,虚拟电厂资源聚合、调度与市场履约,"policies=3,relative=3.0",joint_grid,False,659,424,436,6,1.7479713250204845,1.618839430880806,87.5
U0650,C0650,空气源热泵设备、运行与系统应用,"policies=3,relative=3.0",joint_grid,False,285,173,231,4,1.8514152302353448,1.8908096633723603,62.5
U0356_KG,C0356,电力知识图谱与知识问答,"policies=3,relative=3.0",joint_grid,False,803,26,565,1,34.11435824012507,33.621222118979965,68.75
U0356_LLM,C0356,电力大模型辅助决策与运维,"policies=3,relative=3.0",joint_grid,False,566,132,380,2,4.81040048364178,5.076171001667436,62.5
U0246,C0246,虚拟电厂资源聚合、调度与市场履约,"policies=3,relative=5.0",joint_grid,False,659,424,436,6,1.7479713250204845,1.618839430880806,87.5
U0650,C0650,空气源热泵设备、运行与系统应用,"policies=3,relative=5.0",joint_grid,False,285,173,231,4,1.8514152302353448,1.8908096633723603,62.5
U0356_KG,C0356,电力知识图谱与知识问答,"policies=3,relative=5.0",joint_grid,False,803,26,565,1,34.11435824012507,33.621222118979965,68.75
U0356_LLM,C0356,电力大模型辅助决策与运维,"policies=3,relative=5.0",joint_grid,False,566,132,380,2,4.81040048364178,5.076171001667436,62.5
