unit_id,category_id,name,scenario,end_date,patents_2026,papers_2026_jan_aug,known_applicant_names,applicant_metadata_fraction,policy_groups,policy_points,patent_denominator,paper_denominator,relative_share,pending_patents,pending_papers,patent_component,applicant_component,policy_component,potential_evidence_score,matched_jan_may_relative_share,jan_may_patents,jan_may_papers,potential_priority,expanded_patents_2026,expanded_papers_2026_jan_aug,expanded_relative_share,expanded_matched_jan_may_relative_share,expanded_potential_priority,uncertainty_ratio_lower,uncertainty_ratio_upper,potential_review_category,potential_reason,scope_definition,evidence_tier,scope_sensitivity
U0246,C0246,虚拟电厂资源聚合、调度与市场履约,strict,2026-08-31,659,424,436,0.9984825493171472,6,13,279732,314731,1.7479713250204845,30,106,0.75,0.75,1.0,87.5,1.618839430880806,640,312,True,689,530,1.4623323271103745,1.3881580044331516,True,1.398706555082367,1.8274848045513632,统一任务口径：应用机会跟踪,通过统一集合下全部基准数值门槛；规则与样本支持，不是全量人工验收或未来成功概率,虚拟电厂资源聚合、响应、协调调度、市场交易及履约；排除纯背景提及与通用设备。,双口径支持的跟踪方向,扩展口径亦通过；非对称待判压力下仍≥1.25
U0650,C0650,空气源热泵设备、运行与系统应用,strict,2026-08-31,285,173,231,1.0,4,8,279732,314731,1.8514152302353448,1,97,0.25,0.25,1.0,62.5,1.8908096633723603,276,115,True,286,270,1.1916660191541375,1.1689511893557734,False,1.187506626417125,1.8579000471538574,统一任务口径：应用机会跟踪,通过统一集合下全部基准数值门槛；规则与样本支持，不是全量人工验收或未来成功概率,空气源热泵设备、性能、控制、安装和系统应用；排除未明确空气源的一般热泵及仅地源/水源对象。,边界敏感的条件性跟踪,扩展口径未通过；非对称待判压力下低于1.25
U0356_KG,C0356,电力知识图谱与知识问答,strict,2026-08-31,803,26,565,1.0,1,3,279732,314731,34.11435824012507,75,46,1.0,1.0,0.375,68.75,33.621222118979965,787,18,False,878,72,13.633298945040819,15.66045978284179,False,12.469386115356059,37.298648057187144,统一任务口径：证据不足，保留观察,明确任务政策不足2组；规则与样本支持，不是全量人工验收或未来成功概率,面向电网、电力设备、供配电或电力市场的知识图谱/知识库、知识推理与问答；排除通用BI、泛能源材料和无知识方法的优化。,证据不足，保留观察,扩展口径未通过；非对称待判压力下仍≥1.25
U0356_LLM,C0356,电力大模型辅助决策与运维,strict,2026-08-31,566,132,380,1.0,2,6,279732,314731,4.81040048364178,61,225,0.5,0.5,0.75,62.5,5.076171001667436,549,85,True,627,357,1.9748534935373816,2.063754279377019,True,1.7828757037273733,5.328378293883879,统一任务口径：应用机会跟踪,通过统一集合下全部基准数值门槛；规则与样本支持，不是全量人工验收或未来成功概率,大语言/基础模型用于电力运行、设备运维、预测、交易及辅助决策；排除仅给模型训练供电、比特币能耗和一般强化学习智能体。,双口径支持的跟踪方向,扩展口径亦通过；非对称待判压力下仍≥1.25
