category_id,recent_records,institution_metadata_fraction,title_only_fraction,jan1_fraction,needs_review_fraction,supported_fraction
C0407,1835,0.9013623978201635,0.1678474114441417,0.11553133514986376,0.1994550408719346,0.0653950953678474
C0328,1486,0.8458950201884253,0.02086137281292059,0.07806191117092867,1.0,0.0
C0058,1423,0.8854532677442024,0.5832747716092762,0.11876317638791287,0.020379479971890373,0.0
C0441,63,0.8888888888888888,0.5396825396825397,0.12698412698412698,0.015873015873015872,0.8571428571428571
C0455,1081,0.8658649398704903,0.022201665124884366,0.07123034227567067,1.0,0.0
C0307,1238,0.8150242326332795,0.1680129240710824,0.10662358642972536,1.0,0.0
C0464,1108,0.8664259927797834,0.6723826714801444,0.18501805054151624,1.0,0.0
C0670,96,0.90625,0.6145833333333334,0.10416666666666667,0.0,1.0
C0286,1374,0.9119359534206696,0.04148471615720524,0.11353711790393013,0.17831149927219797,0.0
C0280,1068,0.648876404494382,0.2762172284644195,0.16760299625468164,0.0056179775280898875,0.0
C0020,645,0.8806201550387597,0.4108527131782946,0.11937984496124031,1.0,0.0
C0487,987,0.8662613981762918,0.563323201621074,0.1580547112462006,0.0,1.0
C0723,408,0.8431372549019608,0.5,0.12254901960784313,0.0,1.0
C0170,2388,0.669179229480737,0.288107202680067,0.17336683417085427,1.0,0.0
C0235,1218,0.8087027914614121,0.2044334975369458,0.15599343185550082,0.05582922824302135,0.0
C0143,1426,0.8274894810659187,0.07784011220196353,0.2082748948106592,0.17040673211781207,0.0
C0334,862,0.9095127610208816,0.04756380510440835,0.0777262180974478,1.0,0.0
C0063,1634,0.8745410036719706,0.17074663402692777,0.06976744186046512,0.08139534883720931,0.2827417380660955
C0080,1493,0.9383791024782318,0.5994641661085064,0.11185532484929672,0.2103148024112525,0.0
C0264,1304,0.7269938650306749,0.27223926380368096,0.1656441717791411,1.0,0.0
C0040,2212,0.7789330922242315,0.38743218806509944,0.17857142857142858,0.025768535262206148,0.0
C0347,499,0.501002004008016,0.25250501002004005,0.21442885771543085,1.0,0.0
C0342,970,0.9041237113402062,0.8484536082474227,0.13402061855670103,1.0,0.0
C0076,1775,0.9323943661971831,0.7115492957746479,0.16507042253521126,1.0,0.0
C0360,1165,0.9218884120171674,0.7072961373390558,0.15965665236051502,1.0,0.0
C0018,770,0.7142857142857143,0.007792207792207792,0.12467532467532468,1.0,0.0
C0129,1379,0.8665699782451052,0.41551849166062366,0.10949963741841914,0.1363306744017404,0.16243654822335024
C0009,3091,0.947913296667745,0.22096408929149142,0.1025558071821417,0.12034940148819152,0.2869621481721126
C0202,1174,0.934412265758092,0.5051107325383305,0.12180579216354344,0.20954003407155025,0.0
C0395,777,0.8867438867438867,0.31917631917631917,0.12226512226512226,0.028314028314028315,0.0
C0323,990,0.7080808080808081,0.18282828282828284,0.17272727272727273,1.0,0.0
C0624,197,0.8527918781725888,0.20304568527918782,0.1065989847715736,0.0,1.0
C0665,213,0.8075117370892019,0.4272300469483568,0.14553990610328638,0.0,1.0
C0552,465,0.8279569892473119,0.32688172043010755,0.23440860215053763,0.0,1.0
C0555,376,0.9228723404255319,0.699468085106383,0.17287234042553193,0.0,1.0
C0067,2930,0.8996587030716724,0.3590443686006826,0.1372013651877133,1.0,0.0
C0412,749,0.8598130841121495,0.2416555407209613,0.12149532710280374,0.4205607476635514,0.14686248331108145
C0744,633,0.9115323854660348,0.5971563981042654,0.11690363349131122,0.0,1.0
C0095,121,0.7355371900826446,0.12396694214876033,0.2066115702479339,1.0,0.0
C0192,1139,0.8595258999122037,0.15452151009657594,0.10886742756804214,1.0,0.0
C0169,1583,0.8168035375868604,0.30069488313329124,0.15413771320277952,1.0,0.0
C0463,1285,0.77431906614786,0.21478599221789882,0.1424124513618677,1.0,0.0
C0439,414,0.6352657004830918,0.2560386473429952,0.19082125603864733,0.13526570048309178,0.0
C0392,117,0.27350427350427353,0.10256410256410256,0.358974358974359,1.0,0.0
C0219,1589,0.6607929515418502,0.059786028949024544,0.1145374449339207,1.0,0.0
C0171,717,0.7615062761506276,0.11297071129707113,0.13807531380753138,0.05160390516039052,0.0
C0481,862,0.8723897911832946,0.4582366589327146,0.11948955916473318,0.042923433874709975,0.4280742459396752
C0056,1451,0.7725706409372847,0.3645761543762922,0.20951068228807718,1.0,0.0
C0140,1037,0.9026036644165863,0.24493731918997108,0.1051108968177435,0.04243008678881389,0.0
C0417,857,0.838973162193699,0.11201866977829639,0.08984830805134189,0.10968494749124855,0.14935822637106183
C0124,681,0.7635829662261381,0.20411160058737152,0.21585903083700442,0.933920704845815,0.06607929515418502
C0069,628,0.8328025477707006,0.7993630573248408,0.21337579617834396,1.0,0.0
