category_id,volume,citation,institutions,persistence,current
C0001,0.24499229583975346,0.44992295839753466,0.2465331278890601,0.0,0.2280431432973806
C0002,0.8952234206471494,0.963020030816641,0.9553158705701078,1.0,0.9322033898305084
C0003,0.4699537750385208,0.2218798151001541,0.46687211093990755,1.0,0.4745762711864407
C0004,0.8120184899845917,0.28043143297380585,0.8536209553158706,1.0,0.8351309707241911
C0005,0.6687211093990755,0.8767334360554699,0.687211093990755,1.0,0.6563944530046225
C0006,0.21879815100154082,0.07395993836671803,0.1926040061633282,0.0,0.24499229583975346
C0007,0.674884437596302,0.7041602465331279,0.6810477657935285,1.0,0.6456086286594761
C0008,0.23112480739599384,0.12942989214175654,0.23728813559322035,0.0,0.22033898305084745
C0009,0.9922958397534669,0.9553158705701078,0.9707241910631741,1.0,0.9922958397534669
C0010,0.6533127889060092,0.3420647149460709,0.8258859784283513,1.0,0.7889060092449923
C0011,0.847457627118644,0.9614791987673343,0.8012326656394453,1.0,0.8459167950693375
C0012,0.600924499229584,0.5793528505392912,0.6286594761171033,1.0,0.5701078582434514
C0013,0.47303543913713403,0.386748844375963,0.50231124807396,1.0,0.4869029275808937
C0014,0.04776579352850539,0.04930662557781202,0.053929121725731895,0.0,0.061633281972265024
C0015,0.9121725731895224,0.5546995377503852,0.9029275808936826,1.0,0.9337442218798151
C0016,0.7611710323574731,0.33436055469953774,0.8674884437596302,1.0,0.7673343605546995
C0017,0.5731895223420647,0.1448382126348228,0.5485362095531587,1.0,0.551617873651772
C0018,0.6147919876733436,0.33436055469953774,0.6117103235747303,1.0,0.674884437596302
C0019,0.6209553158705701,0.28659476117103233,0.6409861325115562,1.0,0.6255778120184899
C0020,0.699537750385208,0.8166409861325116,0.8228043143297381,1.0,0.6409861325115562
C0021,0.7411402157164869,0.4776579352850539,0.8459167950693375,1.0,0.6902927580893683
C0022,0.23112480739599384,0.43605546995377503,0.28197226502311246,0.0,0.19106317411402157
C0023,0.06317411402157165,0.04314329738058552,0.04930662557781202,0.0,0.046224961479198766
C0024,0.6040061633281972,0.12788906009244994,0.6640986132511556,1.0,0.6671802773497689
C0025,0.0662557781201849,0.08012326656394453,0.06933744221879815,0.0,0.08782742681047766
C0026,0.48382126348228044,0.2526964560862866,0.5423728813559322,1.0,0.47303543913713403
C0027,0.5855161787365177,0.15870570107858242,0.5469953775038521,1.0,0.5624036979969184
C0028,0.8320493066255779,0.4453004622496148,0.802773497688752,1.0,0.8567026194144838
C0029,0.6209553158705701,0.20801232665639446,0.6224961479198767,1.0,0.6040061633281972
C0030,0.3574730354391371,0.6394453004622496,0.4052388289676425,0.08333333333333333,0.33281972265023113
C0031,0.7134052388289677,0.24807395993836673,0.6302003081664098,1.0,0.6656394453004623
C0032,0.29738058551617874,0.24345146379044685,0.3066255778120185,0.08333333333333333,0.3050847457627119
C0033,0.7827426810477658,0.11710323574730354,0.7211093990755008,1.0,0.7842835130970724
C0034,0.6702619414483821,0.6933744221879815,0.7180277349768875,1.0,0.6795069337442219
C0035,0.32819722650231126,0.1633281972265023,0.31587057010785824,0.25,0.34668721109399075
C0036,0.14946070878274267,0.12788906009244994,0.13559322033898305,0.0,0.1694915254237288
C0037,0.987673343605547,0.9583975346687211,0.9815100154083205,1.0,0.9815100154083205
C0038,0.6147919876733436,0.18181818181818182,0.6825885978428351,1.0,0.650231124807396
C0039,0.33281972265023113,0.32819722650231126,0.33436055469953774,0.16666666666666666,0.3713405238828968
C0040,0.9830508474576272,0.5007704160246533,0.9892141756548536,1.0,0.9738058551617874
C0041,0.1016949152542373,0.6255778120184899,0.15870570107858242,0.0,0.10477657935285054
C0042,0.288135593220339,0.26348228043143296,0.26194144838212635,0.0,0.2665639445300462
C0043,0.6733436055469953,0.42989214175654855,0.6656394453004623,1.0,0.7195685670261941
C0044,0.6271186440677966,0.7211093990755008,0.6240369799691834,1.0,0.6486902927580893
C0045,0.7627118644067796,0.6363636363636364,0.785824345146379,1.0,0.6702619414483821
C0046,0.5824345146379045,0.6440677966101694,0.5577812018489985,1.0,0.6101694915254238
C0047,0.8828967642526965,0.827426810477658,0.8166409861325116,1.0,0.8073959938366718
C0048,0.8135593220338984,0.3559322033898305,0.7211093990755008,1.0,0.8906009244992296
C0049,0.3682588597842835,0.6517719568567026,0.4036979969183359,0.25,0.3204930662557781
C0050,0.8751926040061633,0.8428351309707242,0.8382126348228043,1.0,0.8489984591679507
C0051,0.2542372881355932,0.12172573189522343,0.23728813559322035,0.0,0.25577812018489987
C0052,0.25115562403698,0.04468412942989214,0.2218798151001541,0.0,0.28659476117103233
C0053,0.20030816640986132,0.06317411402157165,0.14021571648690292,0.0,0.21263482280431434
C0054,0.12942989214175654,0.12172573189522343,0.12172573189522343,0.0,0.12326656394453005
C0055,0.5747303543913713,0.4391371340523883,0.6733436055469953,1.0,0.5608628659476117
C0056,0.864406779661017,0.5747303543913713,0.8397534668721109,1.0,0.9214175654853621
C0057,0.7442218798151001,0.2665639445300462,0.6779661016949152,1.0,0.7257318952234206
C0058,0.9291217257318952,0.6070878274268104,0.8906009244992296,1.0,0.9121725731895224
C0059,0.7904468412942989,0.7395993836671803,0.8767334360554699,1.0,0.8089368258859785
C0060,0.9984591679506933,0.9568567026194145,0.9907550077041603,1.0,0.9969183359013868
C0061,0.8412942989214176,0.6656394453004623,0.9044684129429892,1.0,0.7919876733436055
C0062,0.6810477657935285,0.4761171032357473,0.662557781201849,1.0,0.7134052388289677
C0063,0.926040061633282,0.6224961479198767,0.9583975346687211,1.0,0.938366718027735
C0064,0.22650231124807396,0.5454545454545454,0.2727272727272727,0.0,0.22033898305084745
C0065,0.539291217257319,0.2110939907550077,0.5254237288135594,1.0,0.5685670261941448
C0066,0.6979969183359014,0.14637904468412943,0.6887519260400616,1.0,0.74884437596302
C0067,0.9938366718027735,0.9044684129429892,0.9830508474576272,1.0,0.9892141756548536
C0068,0.6040061633281972,0.7503852080123267,0.6718027734976888,1.0,0.5993836671802774
C0069,0.6024653312788906,0.4622496147919877,0.6456086286594761,1.0,0.6317411402157165
